state,action,reward,next_state
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,1,-0.1,10
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
0,3,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,2,-0.1,0
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
1,3,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,1,-0.1,12
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,2,-0.1,1
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
2,3,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,1,-0.1,13
3,1,-0.1,13
3,1,-0.1,13
3,1,-0.1,13
3,1,-0.1,13
