state,action,reward,next_state
32,3,-0.0199,33
33,9,-0.0199,32
32,15,-0.0199,33
33,7,-0.0199,34
34,5,-0.0199,44
44,15,-0.0199,45
45,1,-0.0199,45
45,15,-0.0199,46
46,8,-0.0199,45
45,7,-0.0199,46
46,15,-0.0199,47
47,15,-0.0199,48
48,4,-0.0199,48
48,11,-0.0199,48
48,11,-0.0199,48
48,11,-0.0199,48
48,7,-0.0199,58
58,5,-0.0199,68
68,5,-0.0199,78
78,5,-0.0199,88
88,6,-0.0199,88
88,4,-0.0199,88
88,7,-0.0199,98
98,12,9.89,99
88,7,-0.0199,98
98,12,9.89,99
48,13,-0.0199,58
58,5,-0.0199,68
68,5,-0.0199,78
78,5,-0.0199,88
88,5,-0.0199,98
98,12,9.89,99
45,15,-0.0199,46
46,11,-0.0199,46
46,7,-0.0199,46
46,12,-0.0199,47
47,7,-0.0199,47
47,15,-0.0199,48
48,7,-0.0199,59
59,5,-0.0199,69
69,9,-0.0199,68
68,5,-0.0199,78
78,13,-0.0199,89
89,9,-0.0199,88
88,7,-0.0199,99
20,5,-0.0199,30
30,4,-0.0199,30
30,7,-0.0199,30
30,2,-0.0199,30
30,7,-0.0199,30
30,15,-0.0199,31
31,12,-0.0199,32
32,7,-0.0199,32
32,15,-0.0199,33
33,13,-0.0199,44
44,13,-0.0199,44
44,6,-0.0199,44
44,15,-0.0199,45
45,1,-0.0199,45
45,15,-0.0199,46
46,15,-0.0199,47
47,15,-0.0199,48
48,5,-0.0199,58
58,5,-0.0199,68
68,8,-9.91,67
20,5,-0.0199,30
30,7,-0.0199,30
30,4,-0.0199,30
30,3,-0.0199,31
31,7,-0.0199,31
31,15,-0.0199,32
32,4,-0.0199,32
32,15,-0.0199,33
33,14,-0.0199,33
33,13,-0.0199,44
44,15,-0.0199,45
45,7,-0.0199,45
45,1,-0.0199,45
45,15,-0.0199,46
46,15,-0.0199,47
47,5,-0.0199,47
47,7,-0.0199,48
48,4,-0.0199,48
48,5,-0.0199,58
58,5,-0.0199,68
68,8,-9.91,67
0,5,-0.0199,10
10,1,-0.0199,10
10,5,-0.0199,20
20,9,-0.0199,30
30,7,-0.0199,30
30,11,-0.0199,30
30,15,-0.0199,31
31,11,-0.0199,31
31,15,-0.0199,32
32,15,-0.0199,33
33,13,-0.0199,44
44,7,-0.0199,44
44,15,-0.0199,45
45,13,-0.0199,46
46,7,-0.0199,46
46,15,-0.0199,47
47,13,-0.0199,58
58,5,-0.0199,68
68,5,-0.0199,78
78,5,-0.0199,88
88,5,-0.0199,98
98,15,-0.0199,99
78,5,-0.0199,88
88,5,-0.0199,98
98,15,-0.0199,99
45,1,-0.0199,45
45,15,-0.0199,46
46,15,-0.0199,47
47,13,-0.0199,58
58,5,-0.0199,68
68,5,-0.0199,78
78,1,-0.0199,78
78,5,-0.0199,88
88,4,-0.0199,88
88,9,-0.0199,87
87,5,-0.0199,97
97,0,-0.0199,87
87,6,-0.0199,97
97,15,-0.0199,98
98,11,-0.0199,98
98,15,-0.0199,99
47,13,-0.0199,58
58,5,-0.0199,68
68,5,-0.0199,78
78,5,-0.0199,88
88,4,-0.0199,88
88,5,-0.0199,98
98,14,-0.0199,98
98,8,-0.0199,87
87,5,-0.0199,97
97,12,-0.0199,98
