state,action,reward,next_state
255,1,1.0,274
274,2,2.71,294
294,2,1.0,293
293,2,2.71,313
313,2,1.9,312
312,1,1.9,332
332,0,1.9,331
331,2,5.217031,351
351,1,1.0,350
350,1,4.0951,349
349,1,4.68559,328
328,0,2.71,327
327,2,3.439,307
307,2,2.71,306
306,1,1.0,286
286,1,2.71,265
265,2,2.71,245
245,1,1.0,244
244,1,1.0,224
224,1,1.0,223
223,0,1.9,203
203,0,1.0,182
182,1,1.9,162
162,2,1.9,142
142,0,1.0,122
122,2,1.9,102
102,2,1.0,103
103,0,1.0,83
83,1,1.9,63
63,0,1.9,43
43,2,1.0,44
44,2,1.0,24
24,1,1.0,25
25,0,1.9,5
5,2,1.0,6
6,1,2.71,10
10,2,2.71,11
11,2,1.9,12
12,2,1.9,33
33,2,1.9,34
34,0,1.0,54
54,1,1.9,55
55,1,1.0,75
75,1,1.9,96
96,0,1.9,116
116,1,1.9,136
136,0,1.9,156
156,2,1.9,177
177,2,1.9,197
197,2,1.0,217
217,2,1.0,216
216,1,1.0,236
236,2,1.9,256
256,1,1.9,255
255,0,1.0,275
275,2,1.9,294
294,1,2.71,313
313,0,1.9,312
312,1,2.71,332
332,2,1.0,331
331,0,2.71,330
330,1,3.439,329
329,0,2.71,328
328,2,3.439,308
308,1,1.9,307
307,0,1.9,306
306,0,1.0,286
286,1,1.9,285
285,2,1.0,265
265,2,2.71,244
244,1,1.9,224
224,0,1.0,223
223,2,1.0,203
203,1,1.9,183
183,2,1.0,182
182,0,1.0,162
162,0,1.9,142
142,2,1.0,122
122,2,1.9,102
102,1,1.9,83
83,2,1.9,64
64,2,1.9,44
44,1,1.0,45
45,2,1.9,26
26,0,3.439,7
7,0,4.0951,10
10,2,2.71,11
11,1,1.9,12
12,0,2.71,32
32,2,1.0,33
33,0,2.71,53
53,2,1.0,54
54,0,1.9,74
74,2,1.0,75
75,2,1.0,95
95,2,1.0,96
96,1,1.0,116
116,1,1.9,136
136,2,1.0,136
65,1,1.0,45
45,2,1.9,46
46,2,1.0,26
26,1,1.0,27
27,1,2.71,28
28,1,1.9,29
29,1,2.71,30
30,2,1.9,31
31,0,4.0951,32
32,1,1.0,52
52,2,1.0,53
53,2,1.9,54
54,0,1.0,74
74,1,2.71,95
95,2,1.9,115
115,2,1.0,116
116,0,1.0,136
136,2,1.9,156
156,2,1.9,177
177,2,1.9,197
197,1,1.0,196
196,1,1.0,216
216,2,1.0,236
236,2,1.9,256
256,1,1.9,255
255,2,1.0,275
275,0,1.0,274
274,1,1.0,294
294,2,2.71,313
313,2,3.439,333
333,2,3.439,353
353,0,1.0,352
352,2,2.71,372
372,2,3.439,400
400,0,0.0,400
150,0,1.0,149
149,1,9.618479575523054,150
150,2,4.68559,151
151,2,4.0951,171
171,0,3.439,170
170,0,3.439,169
169,0,3.439,168
168,0,2.71,148
148,0,2.71,147
147,0,2.71,127
127,0,4.0951,107
107,2,2.71,108
108,1,3.439,89
89,1,4.0951,90
90,2,2.71,111
111,1,3.439,112
112,2,1.9,132
132,1,1.9,133
133,1,1.9,153
153,2,3.439,173
173,1,3.439,193
193,0,1.9,192
192,1,1.9,212
212,0,1.0,211
211,0,2.71,210
210,2,5.217031,209
209,0,2.71,208
208,0,1.9,207
207,0,1.0,187
187,0,1.9,186
186,0,1.9,166
166,2,3.439,146
146,1,2.71,126
126,0,3.439,106
106,2,2.71,107
107,2,1.0,87
87,1,1.9,88
88,0,4.0951,68
68,1,1.9,69
69,1,2.71,70
70,2,1.9,71
71,1,1.9,91
91,1,1.9,92
92,2,1.9,93
93,0,1.0,113
113,0,3.439,133
133,1,3.439,153
153,2,2.71,174
174,0,1.0,173
173,1,1.9,193
193,1,3.439,212
212,1,3.439,211
211,2,1.9,231
231,0,1.9,230
230,1,2.71,229
229,1,3.439,228
228,1,1.0,208
208,0,1.9,207
207,2,1.0,207
352,1,1.9,372
372,1,4.0951,400
400,1,0.0,400
150,2,5.217031,170
170,1,7.175704635190001,169
169,0,4.0951,168
168,0,1.0,148
148,1,6.12579511,128
128,1,4.68559,129
129,0,2.71,128
128,0,2.71,108
108,2,1.0,109
109,0,8.649148282327008,110
110,1,4.0951,111
111,1,4.0951,131
131,2,1.0,132
132,2,3.439,153
153,2,3.439,173
173,1,3.439,193
193,0,1.0,192
192,2,2.71,212
212,0,1.9,211
211,1,3.439,210
210,0,2.71,209
209,1,2.71,208
208,0,1.9,207
207,0,2.71,186
186,2,3.439,166
166,0,2.71,146
146,1,1.0,145
145,0,1.9,125
125,0,2.71,105
105,0,2.71,85
85,0,2.71,66
66,0,3.439,46
46,2,1.0,47
47,2,1.9,48
48,2,1.9,49
49,2,1.9,50
50,2,1.9,51
51,1,2.71,52
52,2,1.9,73
73,1,2.71,94
94,2,2.71,115
115,1,1.9,135
135,2,1.0,136
136,0,1.0,155
155,0,2.71,175
175,2,1.9,195
195,0,1.9,215
215,0,1.0,214
214,2,1.9,234
234,2,2.71,253
253,0,1.9,252
252,2,2.71,272
272,2,1.9,271
271,2,4.0951,270
270,1,2.71,269
269,0,1.9,268
268,0,1.9,267
267,1,2.71,246
246,0,1.9,245
245,1,1.0,225
225,2,2.71,204
204,1,1.9,184
65,1,1.9,46
46,2,1.9,47
47,2,1.9,48
48,0,1.0,28
28,1,2.71,29
29,1,1.9,30
30,2,1.9,31
31,2,1.9,52
52,1,2.71,53
53,1,1.0,73
73,0,3.439,94
94,0,2.71,114
114,0,2.71,134
134,1,1.9,154
154,2,1.9,155
155,0,1.0,174
174,0,2.71,194
194,0,1.0,193
193,1,1.9,213
213,2,3.439,233
233,2,1.0,232
232,0,1.9,231
231,2,2.71,251
251,1,1.9,250
250,1,2.71,249
249,1,2.71,228
228,1,2.71,227
227,0,1.9,226
226,2,1.0,206
206,0,1.9,205
205,1,1.0,185
185,0,1.9,184
184,2,1.0,164
164,2,1.9,145
145,2,2.71,125
125,0,2.71,105
105,0,1.9,85
85,0,2.71,65
65,1,1.0,66
66,0,2.71,46
46,2,1.0,47
47,2,1.9,48
48,2,1.9,49
49,2,1.0,29
29,0,2.71,30
30,2,1.0,50
50,2,1.0,51
51,0,4.0951,52
52,2,1.0,72
72,0,1.9,73
73,2,1.9,93
93,2,1.0,94
94,2,1.9,115
115,2,1.9,135
135,1,1.9,156
156,0,1.0,155
155,0,1.9,175
175,2,1.9,195
195,0,1.9,215
215,0,1.0,214
214,2,1.9,234
234,2,2.71,253
253,1,2.71,252
252,1,1.0,272
272,1,1.9,271
271,2,4.0951,270
270,0,1.9,269
269,0,1.9,268
268,0,1.9,267
267,1,2.71,246
246,0,1.9,245
245,0,1.0,225
225,0,1.0,224
224,0,1.0,204
204,0,1.0,203
203,0,1.0,183
183,2,1.9,163
163,0,1.9,142
142,1,1.9,122
122,0,1.9,102
102,2,1.0,103
103,1,1.0,83
83,1,1.9,63
63,1,1.0,64
64,0,1.0,44
44,2,1.9,25
25,0,2.71,5
5,1,1.0,6
6,0,2.71,10
10,2,2.71,11
11,2,1.9,12
12,2,1.9,33
33,1,1.9,34
34,0,1.9,54
54,0,1.9,74
74,2,1.0,75
75,0,1.9,95
95,2,1.0,96
96,1,1.0,116
116,2,1.9,136
136,1,1.0,137
373,2,1.9,400
400,1,0.0,400
207,0,1.0,187
187,0,1.9,186
186,2,1.9,166
166,0,2.71,145
145,0,2.71,125
125,0,2.71,105
105,0,2.71,85
85,0,2.71,65
65,1,1.0,66
66,0,1.9,46
46,2,1.9,47
47,1,1.9,48
48,2,1.9,29
29,1,2.71,30
30,2,1.9,51
51,0,3.439,52
52,1,2.71,73
73,2,2.71,94
94,1,2.71,115
115,2,1.9,135
135,0,1.9,155
155,1,1.9,175
175,1,2.71,195
195,0,1.9,214
214,2,2.71,234
234,2,2.71,254
254,0,1.0,253
253,2,2.71,272
272,2,4.0951,291
291,1,2.71,290
290,2,4.0951,289
289,1,2.71,288
288,0,1.9,267
267,1,2.71,266
266,0,1.0,246
246,2,1.9,245
245,1,1.0,225
225,2,2.71,204
204,1,1.9,184
184,0,1.9,183
183,2,1.0,163
163,0,1.9,143
143,2,1.9,123
123,1,1.9,103
103,1,1.0,104
104,0,1.0,84
84,1,1.9,64
64,2,1.0,65
65,1,1.9,45
45,2,1.0,46
46,2,1.9,27
27,2,1.9,28
28,1,2.71,29
29,2,1.9,30
30,2,1.9,31
31,2,1.9,32
32,2,1.0,52
52,2,1.0,53
53,2,1.9,54
54,0,1.0,74
74,1,1.9,95
95,2,2.71,116
116,2,1.9,136
136,2,1.0,157
157,2,1.9,177
177,2,1.9,197
197,1,1.9,217
217,2,1.0,237
237,1,1.0,236
236,2,1.0,256
256,0,1.9,275
275,1,1.9,274
274,1,1.0,294
294,2,2.71,313
313,0,2.71,312
312,1,1.0,332
332,1,1.9,331
331,1,3.439,330
330,2,4.68559,350
350,2,7.175704635190001,349
349,2,6.861894039100001,329
329,1,2.71,328
173,0,1.0,172
172,0,2.71,192
192,0,1.0,191
191,1,4.0951,190
190,0,2.71,189
189,2,8.649148282327008,169
169,1,1.9,168
168,2,3.439,169
169,1,1.0,168
168,1,3.439,148
148,2,3.439,149
149,1,6.5132155990000005,129
129,2,3.439,130
130,2,2.71,150
150,1,8.146979811148158,170
170,2,3.439,171
171,0,1.0,170
170,2,3.439,171
171,2,4.0951,191
191,2,4.68559,190
190,0,2.71,189
189,2,8.649148282327008,169
169,1,2.71,168
168,0,3.439,167
167,0,1.9,147
147,1,4.0951,127
127,0,4.0951,107
107,0,4.0951,87
87,1,2.71,88
88,1,2.71,89
89,0,3.439,69
69,2,1.0,70
70,2,1.0,90
90,1,1.9,91
91,2,2.71,92
92,1,1.9,112
112,0,3.439,113
113,0,1.0,133
133,2,2.71,153
153,2,1.9,154
154,2,1.9,174
174,0,1.9,173
173,0,1.0,193
193,0,1.9,192
192,0,1.9,212
212,0,1.0,211
211,1,3.439,210
210,0,2.71,209
209,2,4.68559,208
208,1,1.9,208
168,0,1.0,148
148,0,1.0,147
147,0,4.0951,127
127,1,4.0951,107
107,1,1.9,108
108,2,2.71,109
109,2,2.71,110
110,1,4.0951,111
111,2,2.71,112
112,1,1.0,132
132,1,4.0951,152
152,1,4.0951,172
172,0,2.71,171
171,0,2.71,191
191,2,5.6953279000000006,190
190,0,2.71,189
189,1,4.0951,188
188,0,2.71,187
187,0,1.0,167
167,2,4.68559,147
147,0,4.0951,127
127,0,4.0951,107
107,2,3.439,108
108,2,1.9,89
89,1,4.0951,90
90,2,2.71,111
111,2,1.9,112
112,2,2.71,113
113,1,1.0,133
133,2,2.71,153
153,2,1.0,154
154,2,1.9,174
174,1,2.71,194
194,1,1.0,193
193,2,2.71,213
213,0,2.71,212
212,2,1.0,232
232,0,1.9,231
231,2,3.439,230
230,1,2.71,229
229,0,1.9,228
228,2,4.68559,207
207,2,4.0951,187
187,0,1.0,186
186,2,3.439,166
166,2,2.71,167
167,0,1.0,146
146,1,3.439,126
126,0,3.439,106
106,2,1.9,107
107,2,1.9,108
108,2,1.0,88
88,0,4.68559,89
89,1,3.439,90
90,2,2.71,91
91,1,2.71,92
92,2,1.0,112
112,2,1.9,113
113,1,1.9,133
133,1,3.439,153
153,2,1.0,154
154,2,1.9,174
174,0,1.9,173
173,1,1.0,193
193,1,3.439,212
212,0,2.71,211
314,2,2.71,334
334,2,1.0,333
333,2,1.9,353
353,0,2.71,352
352,2,1.0,372
372,2,3.439,400
400,2,0.0,400
170,1,1.9,190
190,2,9.202335569231275,189
189,1,4.0951,169
169,0,1.0,168
168,0,3.439,167
167,1,2.71,147
147,1,4.0951,127
127,0,4.68559,107
107,2,1.9,108
108,2,2.71,109
109,0,3.439,89
89,1,2.71,90
90,1,1.9,110
110,0,5.6953279000000006,111
111,2,3.439,132
132,0,4.68559,151
151,2,1.0,152
152,1,4.0951,172
172,0,1.0,171
171,0,3.439,170
170,1,5.6953279000000006,169
169,0,3.439,168
168,0,3.439,167
167,0,1.9,147
147,2,3.439,148
148,0,1.0,127
127,0,4.68559,107
107,2,1.9,108
108,0,4.68559,88
88,0,4.0951,89
89,1,3.439,90
90,2,2.71,91
91,2,1.9,92
92,2,1.0,112
112,1,2.71,113
113,1,1.0,133
133,1,3.439,153
153,0,3.439,173
173,2,3.439,193
193,1,1.9,192
192,2,1.9,212
212,0,2.71,211
211,2,4.0951,230
230,1,3.439,229
229,0,1.9,208
208,0,2.71,207
207,0,1.9,206
206,0,1.0,186
186,0,1.9,185
185,0,1.0,165
165,0,1.9,164
164,1,1.0,144
144,2,1.0,145
145,0,1.0,124
124,2,1.0,125
125,0,1.9,105
105,0,1.9,85
85,0,1.9,85
112,2,1.0,133
133,1,2.71,153
153,1,3.439,173
173,0,2.71,172
172,2,1.0,192
192,2,4.0951,212
212,0,1.9,211
211,2,4.68559,231
231,2,1.0,230
230,2,5.217031,229
229,0,1.9,228
228,2,1.9,208
208,1,2.71,207
207,0,2.71,186
186,0,1.9,185
185,0,1.0,165
165,0,2.71,144
144,1,1.9,124
124,0,2.71,104
104,0,1.9,84
84,0,1.9,85
85,0,1.0,65
65,1,2.71,46
46,1,2.71,47
47,2,1.0,27
27,2,1.0,28
28,1,2.71,29
29,1,2.71,30
30,2,1.9,31
31,2,1.9,32
32,2,1.0,52
52,1,1.0,53
53,2,1.9,74
74,2,1.9,75
75,2,1.0,95
95,2,1.9,116
116,0,1.9,136
136,2,1.9,156
156,2,1.0,157
157,0,1.0,176
176,2,1.0,177
177,2,1.0,197
197,1,1.0,196
196,2,1.0,216
216,2,1.9,236
236,2,1.9,256
256,1,1.0,255
255,2,1.0,275
275,2,1.9,295
295,1,1.0,294
294,1,1.9,314
314,2,1.0,313
313,1,1.9,333
333,1,1.9,332
332,1,2.71,352
352,2,4.68559,372
372,2,4.0951,400
400,2,0.0,400
173,1,1.9,193
193,1,1.0,192
192,2,2.71,212
212,1,3.439,211
211,0,1.9,210
210,0,2.71,209
209,2,4.68559,208
208,2,4.0951,188
188,1,1.9,187
187,2,4.0951,167
167,0,3.439,146
146,1,3.439,126
126,0,3.439,106
106,1,2.71,107
107,2,1.9,87
87,1,1.0,88
88,2,2.71,89
89,2,1.9,90
90,2,2.71,91
91,1,2.71,112
112,2,2.71,113
113,1,1.9,133
133,2,2.71,154
154,2,2.71,174
174,0,2.71,193
193,2,3.439,213
213,1,2.71,232
232,0,2.71,231
231,2,3.439,230
230,0,1.9,229
229,0,1.9,228
228,1,3.439,227
227,0,1.0,207
207,2,2.71,206
206,0,1.0,186
186,0,1.9,185
185,0,1.9,165
165,0,1.0,164
164,1,1.0,144
144,0,2.71,124
124,0,1.9,104
104,0,1.9,84
84,0,2.71,64
64,1,1.0,65
65,2,1.0,45
45,2,1.0,46
46,2,1.9,47
47,1,1.0,27
27,0,2.71,28
28,1,2.71,29
29,1,2.71,30
30,0,3.439,31
31,2,1.9,32
32,2,1.9,53
53,2,1.9,54
54,0,1.9,74
74,2,1.9,95
95,2,1.9,116
116,1,1.9,136
136,1,1.9,156
156,2,1.9,177
177,2,1.9,197
197,1,1.9,216
216,2,1.9,236
236,2,1.9,256
256,1,1.0,255
255,2,1.0,275
275,1,1.9,294
294,0,1.9,293
293,1,1.0,313
313,1,2.71,312
312,1,1.9,332
332,0,1.0,331
331,0,2.71,330
330,2,5.6953279000000006,329
329,1,4.0951,328
328,1,3.439,307
307,2,2.71,307
73,2,1.9,74
74,0,1.0,94
94,2,1.9,95
95,0,1.0,115
115,0,1.9,135
135,2,2.71,155
155,1,1.9,175
175,2,1.9,195
195,2,1.9,215
215,0,1.9,235
235,2,1.0,234
234,2,1.9,254
254,0,1.9,253
253,2,1.9,273
273,1,1.0,272
272,2,2.71,292
292,2,1.9,291
291,1,2.71,290
290,2,4.0951,289
289,2,4.0951,288
288,0,1.9,287
287,1,1.0,267
267,2,2.71,266
266,0,1.0,246
246,0,1.0,245
245,1,1.9,225
225,0,1.0,224
224,0,1.9,203
203,0,1.9,183
183,2,1.0,163
163,0,1.0,162
162,1,1.0,142
142,0,1.9,122
122,1,1.9,102
102,1,1.0,82
82,2,1.0,83
83,2,1.0,63
63,1,1.9,44
44,2,1.9,45
45,2,1.0,25
25,1,1.9,26
26,1,1.0,6
6,1,1.0,7
7,1,2.71,8
8,1,1.9,10
10,0,4.68559,11
11,2,1.9,12
12,0,2.71,32
32,1,1.9,33
33,2,1.9,54
54,0,2.71,74
74,2,1.0,75
75,1,1.0,95
95,2,1.0,96
96,2,1.0,116
116,0,1.9,136
136,2,1.9,157
157,2,1.9,177
177,1,1.0,197
197,1,1.9,216
216,2,1.9,236
236,2,1.9,256
256,1,1.9,275
275,2,2.71,295
295,2,1.0,294
