run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,0.8382840116965216,0.0001,0.01,1e-06,2000,0.1,0.020000000000000004,0.8382840116965216
2,grid,0.8382840116965216,0.0001,0.01,1e-06,2000,0.5,0.1,0.8382840116965216
3,grid,0.8382840116965216,0.0001,0.01,1e-06,2000,1.0,0.2,0.8382840116965216
4,grid,0.8382840116965216,0.0001,0.01,1e-06,2000,5.0,1.0,0.8382840116965216
5,grid,1.2223591324223846,0.0001,0.01,1e-06,2000,20.0,4.0,1.2223591324223846
6,grid,0.8382840116965216,0.0001,0.1,1e-06,2000,0.1,0.020000000000000004,0.8382840116965216
7,grid,0.8382840116965216,0.0001,0.1,1e-06,2000,0.5,0.1,0.8382840116965216
8,grid,0.8382840116965216,0.0001,0.1,1e-06,2000,1.0,0.2,0.8382840116965216
9,grid,0.8382840116965216,0.0001,0.1,1e-06,2000,5.0,1.0,0.8382840116965216
10,grid,1.2223591324223846,0.0001,0.1,1e-06,2000,20.0,4.0,1.2223591324223846
11,grid,0.8382840116965216,0.0001,1.0,1e-06,2000,0.1,0.020000000000000004,0.8382840116965216
12,grid,0.8382840116965216,0.0001,1.0,1e-06,2000,0.5,0.1,0.8382840116965216
13,grid,0.8382840116965216,0.0001,1.0,1e-06,2000,1.0,0.2,0.8382840116965216
14,grid,0.8382840116965216,0.0001,1.0,1e-06,2000,5.0,1.0,0.8382840116965216
15,grid,1.2223591324223846,0.0001,1.0,1e-06,2000,20.0,4.0,1.2223591324223846
16,grid,0.8382840116965216,0.0001,10.0,1e-06,2000,0.1,0.020000000000000004,0.8382840116965216
17,grid,0.8382840116965216,0.0001,10.0,1e-06,2000,0.5,0.1,0.8382840116965216
18,grid,0.8382840116965216,0.0001,10.0,1e-06,2000,1.0,0.2,0.8382840116965216
19,grid,0.8382840116965216,0.0001,10.0,1e-06,2000,5.0,1.0,0.8382840116965216
20,grid,1.2223591324223846,0.0001,10.0,1e-06,2000,20.0,4.0,1.2223591324223846
21,grid,0.8382840116965216,0.0001,100.0,1e-06,2000,0.1,0.020000000000000004,0.8382840116965216
22,grid,0.8382840116965216,0.0001,100.0,1e-06,2000,0.5,0.1,0.8382840116965216
23,grid,0.8382840116965216,0.0001,100.0,1e-06,2000,1.0,0.2,0.8382840116965216
24,grid,0.8382840116965216,0.0001,100.0,1e-06,2000,5.0,1.0,0.8382840116965216
25,grid,1.2223591324223846,0.0001,100.0,1e-06,2000,20.0,4.0,1.2223591324223846
26,grid,0.8382840116965216,0.0001,0.01,1e-05,2000,0.1,0.020000000000000004,0.8382840116965216
27,grid,0.8382840116965216,0.0001,0.01,1e-05,2000,0.5,0.1,0.8382840116965216
28,grid,0.8382840116965216,0.0001,0.01,1e-05,2000,1.0,0.2,0.8382840116965216
29,grid,1.2223591324223846,0.0001,0.01,1e-05,2000,5.0,1.0,1.2223591324223846
30,grid,2.0975674193594402,0.0001,0.01,1e-05,2000,20.0,4.0,2.0975674193594402
31,grid,0.8382840116965216,0.0001,0.1,1e-05,2000,0.1,0.020000000000000004,0.8382840116965216
32,grid,0.8382840116965216,0.0001,0.1,1e-05,2000,0.5,0.1,0.8382840116965216
33,grid,0.8382840116965216,0.0001,0.1,1e-05,2000,1.0,0.2,0.8382840116965216
34,grid,1.2223591324223846,0.0001,0.1,1e-05,2000,5.0,1.0,1.2223591324223846
35,grid,2.0975674193594402,0.0001,0.1,1e-05,2000,20.0,4.0,2.0975674193594402
36,grid,0.8382840116965216,0.0001,1.0,1e-05,2000,0.1,0.020000000000000004,0.8382840116965216
37,grid,0.8382840116965216,0.0001,1.0,1e-05,2000,0.5,0.1,0.8382840116965216
38,grid,0.8382840116965216,0.0001,1.0,1e-05,2000,1.0,0.2,0.8382840116965216
39,grid,1.2223591324223846,0.0001,1.0,1e-05,2000,5.0,1.0,1.2223591324223846
40,grid,2.0975674193594402,0.0001,1.0,1e-05,2000,20.0,4.0,2.0975674193594402
41,grid,0.8382840116965216,0.0001,10.0,1e-05,2000,0.1,0.020000000000000004,0.8382840116965216
42,grid,0.8382840116965216,0.0001,10.0,1e-05,2000,0.5,0.1,0.8382840116965216
43,grid,0.8382840116965216,0.0001,10.0,1e-05,2000,1.0,0.2,0.8382840116965216
44,grid,1.0631147793508582,0.0001,10.0,1e-05,2000,5.0,1.0,1.0631147793508582
45,grid,2.0975674193594402,0.0001,10.0,1e-05,2000,20.0,4.0,2.0975674193594402
46,grid,0.8382840116965216,0.0001,100.0,1e-05,2000,0.1,0.020000000000000004,0.8382840116965216
47,grid,0.8382840116965216,0.0001,100.0,1e-05,2000,0.5,0.1,0.8382840116965216
48,grid,0.8382840116965216,0.0001,100.0,1e-05,2000,1.0,0.2,0.8382840116965216
49,grid,0.8382840116965216,0.0001,100.0,1e-05,2000,5.0,1.0,0.8382840116965216
50,grid,1.6934102462230078,0.0001,100.0,1e-05,2000,20.0,4.0,1.6934102462230078
51,grid,0.8382840116965216,0.0001,0.01,0.0001,2000,0.1,0.020000000000000004,0.8382840116965216
52,grid,0.8382840116965216,0.0001,0.01,0.0001,2000,0.5,0.1,0.8382840116965216
53,grid,0.8382840116965216,0.0001,0.01,0.0001,2000,1.0,0.2,0.8382840116965216
54,grid,1.786957184917437,0.0001,0.01,0.0001,2000,5.0,1.0,1.786957184917437
55,grid,1.7809383088693977,0.0001,0.01,0.0001,2000,20.0,4.0,1.7809383088693977
56,grid,0.8382840116965216,0.0001,0.1,0.0001,2000,0.1,0.020000000000000004,0.8382840116965216
57,grid,0.8382840116965216,0.0001,0.1,0.0001,2000,0.5,0.1,0.8382840116965216
58,grid,0.8382840116965216,0.0001,0.1,0.0001,2000,1.0,0.2,0.8382840116965216
59,grid,1.786957184917437,0.0001,0.1,0.0001,2000,5.0,1.0,1.786957184917437
60,grid,1.7809383088693977,0.0001,0.1,0.0001,2000,20.0,4.0,1.7809383088693977
61,grid,0.8382840116965216,0.0001,1.0,0.0001,2000,0.1,0.020000000000000004,0.8382840116965216
62,grid,0.8382840116965216,0.0001,1.0,0.0001,2000,0.5,0.1,0.8382840116965216
63,grid,0.8382840116965216,0.0001,1.0,0.0001,2000,1.0,0.2,0.8382840116965216
64,grid,1.786957184917437,0.0001,1.0,0.0001,2000,5.0,1.0,1.786957184917437
65,grid,1.7809383088693977,0.0001,1.0,0.0001,2000,20.0,4.0,1.7809383088693977
66,grid,0.8382840116965216,0.0001,10.0,0.0001,2000,0.1,0.020000000000000004,0.8382840116965216
67,grid,0.8382840116965216,0.0001,10.0,0.0001,2000,0.5,0.1,0.8382840116965216
68,grid,0.8382840116965216,0.0001,10.0,0.0001,2000,1.0,0.2,0.8382840116965216
69,grid,1.683016141923627,0.0001,10.0,0.0001,2000,5.0,1.0,1.683016141923627
70,grid,2.190271213278829,0.0001,10.0,0.0001,2000,20.0,4.0,2.190271213278829
71,grid,0.8382840116965216,0.0001,100.0,0.0001,2000,0.1,0.020000000000000004,0.8382840116965216
72,grid,0.8382840116965216,0.0001,100.0,0.0001,2000,0.5,0.1,0.8382840116965216
73,grid,0.8382840116965216,0.0001,100.0,0.0001,2000,1.0,0.2,0.8382840116965216
74,grid,0.8382840116965216,0.0001,100.0,0.0001,2000,5.0,1.0,0.8382840116965216
75,grid,1.6934102462230078,0.0001,100.0,0.0001,2000,20.0,4.0,1.6934102462230078
76,grid,0.8382840116965216,0.0001,0.01,0.001,2000,0.1,0.020000000000000004,0.8382840116965216
77,grid,0.8382840116965216,0.0001,0.01,0.001,2000,0.5,0.1,0.8382840116965216
78,grid,1.2223591324223846,0.0001,0.01,0.001,2000,1.0,0.2,1.2223591324223846
79,grid,0.9939611623139537,0.0001,0.01,0.001,2000,5.0,1.0,0.9939611623139537
80,grid,0.3474605281521853,0.0001,0.01,0.001,2000,20.0,4.0,0.3474605281521853
81,grid,0.8382840116965216,0.0001,0.1,0.001,2000,0.1,0.020000000000000004,0.8382840116965216
82,grid,0.8382840116965216,0.0001,0.1,0.001,2000,0.5,0.1,0.8382840116965216
83,grid,1.2223591324223846,0.0001,0.1,0.001,2000,1.0,0.2,1.2223591324223846
84,grid,0.9939611623139537,0.0001,0.1,0.001,2000,5.0,1.0,0.9939611623139537
85,grid,0.3474605281521853,0.0001,0.1,0.001,2000,20.0,4.0,0.3474605281521853
86,grid,0.8382840116965216,0.0001,1.0,0.001,2000,0.1,0.020000000000000004,0.8382840116965216
87,grid,0.8382840116965216,0.0001,1.0,0.001,2000,0.5,0.1,0.8382840116965216
88,grid,1.2223591324223846,0.0001,1.0,0.001,2000,1.0,0.2,1.2223591324223846
89,grid,1.5237717888521003,0.0001,1.0,0.001,2000,5.0,1.0,1.5237717888521003
90,grid,1.0732671087683865,0.0001,1.0,0.001,2000,20.0,4.0,1.0732671087683865
91,grid,0.8382840116965216,0.0001,10.0,0.001,2000,0.1,0.020000000000000004,0.8382840116965216
92,grid,0.8382840116965216,0.0001,10.0,0.001,2000,0.5,0.1,0.8382840116965216
93,grid,0.8382840116965216,0.0001,10.0,0.001,2000,1.0,0.2,0.8382840116965216
94,grid,1.786957184917437,0.0001,10.0,0.001,2000,5.0,1.0,1.786957184917437
95,grid,2.190271213278829,0.0001,10.0,0.001,2000,20.0,4.0,2.190271213278829
96,grid,0.8382840116965216,0.0001,100.0,0.001,2000,0.1,0.020000000000000004,0.8382840116965216
97,grid,0.8382840116965216,0.0001,100.0,0.001,2000,0.5,0.1,0.8382840116965216
98,grid,0.8382840116965216,0.0001,100.0,0.001,2000,1.0,0.2,0.8382840116965216
99,grid,1.0631147793508582,0.0001,100.0,0.001,2000,5.0,1.0,1.0631147793508582
100,grid,1.6934102462230078,0.0001,100.0,0.001,2000,20.0,4.0,1.6934102462230078
101,grid,0.8382840116965216,0.0001,0.01,0.01,2000,0.1,0.020000000000000004,0.8382840116965216
102,grid,0.8382840116965216,0.0001,0.01,0.01,2000,0.5,0.1,0.8382840116965216
103,grid,0.8382840116965216,0.0001,0.01,0.01,2000,1.0,0.2,0.8382840116965216
104,grid,0.5758584982606161,0.0001,0.01,0.01,2000,5.0,1.0,0.5758584982606161
105,grid,0.5758584982606161,0.0001,0.01,0.01,2000,20.0,4.0,0.5758584982606161
106,grid,0.8382840116965216,0.0001,0.1,0.01,2000,0.1,0.020000000000000004,0.8382840116965216
107,grid,0.8382840116965216,0.0001,0.1,0.01,2000,0.5,0.1,0.8382840116965216
108,grid,0.8382840116965216,0.0001,0.1,0.01,2000,1.0,0.2,0.8382840116965216
109,grid,0.5722912958065218,0.0001,0.1,0.01,2000,5.0,1.0,0.5722912958065218
110,grid,0.5722912958065218,0.0001,0.1,0.01,2000,20.0,4.0,0.5722912958065218
111,grid,0.8382840116965216,0.0001,1.0,0.01,2000,0.1,0.020000000000000004,0.8382840116965216
112,grid,0.8382840116965216,0.0001,1.0,0.01,2000,0.5,0.1,0.8382840116965216
113,grid,1.2223591324223846,0.0001,1.0,0.01,2000,1.0,0.2,1.2223591324223846
114,grid,1.5229286440770595,0.0001,1.0,0.01,2000,5.0,1.0,1.5229286440770595
115,grid,1.2980978764227231,0.0001,1.0,0.01,2000,20.0,4.0,1.2980978764227231
116,grid,0.8382840116965216,0.0001,10.0,0.01,2000,0.1,0.020000000000000004,0.8382840116965216
117,grid,0.8382840116965216,0.0001,10.0,0.01,2000,0.5,0.1,0.8382840116965216
118,grid,0.8382840116965216,0.0001,10.0,0.01,2000,1.0,0.2,0.8382840116965216
119,grid,1.786957184917437,0.0001,10.0,0.01,2000,5.0,1.0,1.786957184917437
120,grid,2.190271213278829,0.0001,10.0,0.01,2000,20.0,4.0,2.190271213278829
121,grid,0.8382840116965216,0.0001,100.0,0.01,2000,0.1,0.020000000000000004,0.8382840116965216
122,grid,0.8382840116965216,0.0001,100.0,0.01,2000,0.5,0.1,0.8382840116965216
123,grid,0.8382840116965216,0.0001,100.0,0.01,2000,1.0,0.2,0.8382840116965216
124,grid,1.0631147793508582,0.0001,100.0,0.01,2000,5.0,1.0,1.0631147793508582
125,grid,1.6934102462230078,0.0001,100.0,0.01,2000,20.0,4.0,1.6934102462230078
126,grid,0.8382840116965216,0.0001,0.01,0.1,2000,0.1,0.020000000000000004,0.8382840116965216
127,grid,0.8382840116965216,0.0001,0.01,0.1,2000,0.5,0.1,0.8382840116965216
128,grid,0.8382840116965216,0.0001,0.01,0.1,2000,1.0,0.2,0.8382840116965216
129,grid,0.8382840116965216,0.0001,0.01,0.1,2000,5.0,1.0,0.8382840116965216
130,grid,0.8382840116965216,0.0001,0.01,0.1,2000,20.0,4.0,0.8382840116965216
131,grid,0.8382840116965216,0.0001,0.1,0.1,2000,0.1,0.020000000000000004,0.8382840116965216
132,grid,0.8382840116965216,0.0001,0.1,0.1,2000,0.5,0.1,0.8382840116965216
133,grid,0.8382840116965216,0.0001,0.1,0.1,2000,1.0,0.2,0.8382840116965216
134,grid,0.8382840116965216,0.0001,0.1,0.1,2000,5.0,1.0,0.8382840116965216
135,grid,0.8382840116965216,0.0001,0.1,0.1,2000,20.0,4.0,0.8382840116965216
136,grid,0.8382840116965216,0.0001,1.0,0.1,2000,0.1,0.020000000000000004,0.8382840116965216
137,grid,0.8382840116965216,0.0001,1.0,0.1,2000,0.5,0.1,0.8382840116965216
138,grid,1.2223591324223846,0.0001,1.0,0.1,2000,1.0,0.2,1.2223591324223846
139,grid,0.9939611623139537,0.0001,1.0,0.1,2000,5.0,1.0,0.9939611623139537
140,grid,1.683016141923627,0.0001,1.0,0.1,2000,20.0,4.0,1.683016141923627
141,grid,0.8382840116965216,0.0001,10.0,0.1,2000,0.1,0.020000000000000004,0.8382840116965216
142,grid,0.8382840116965216,0.0001,10.0,0.1,2000,0.5,0.1,0.8382840116965216
143,grid,0.8382840116965216,0.0001,10.0,0.1,2000,1.0,0.2,0.8382840116965216
144,grid,1.5237717888521003,0.0001,10.0,0.1,2000,5.0,1.0,1.5237717888521003
145,grid,1.6934102462230078,0.0001,10.0,0.1,2000,20.0,4.0,1.6934102462230078
