run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,0.7665888077766017,0.0001,0.01,1e-06,2000,0.1,0.020000000000000004,0.7665888077766017
2,grid,0.7665888077766017,0.0001,0.01,1e-06,2000,0.5,0.1,0.7665888077766017
3,grid,0.7665888077766017,0.0001,0.01,1e-06,2000,1.0,0.2,0.7665888077766017
4,grid,0.7665888077766017,0.0001,0.01,1e-06,2000,5.0,1.0,0.7665888077766017
5,grid,0.7665888077766017,0.0001,0.01,1e-06,2000,20.0,4.0,0.7665888077766017
6,grid,0.7665888077766017,0.0001,0.1,1e-06,2000,0.1,0.020000000000000004,0.7665888077766017
7,grid,0.7665888077766017,0.0001,0.1,1e-06,2000,0.5,0.1,0.7665888077766017
8,grid,0.7665888077766017,0.0001,0.1,1e-06,2000,1.0,0.2,0.7665888077766017
9,grid,0.7665888077766017,0.0001,0.1,1e-06,2000,5.0,1.0,0.7665888077766017
10,grid,0.7665888077766017,0.0001,0.1,1e-06,2000,20.0,4.0,0.7665888077766017
11,grid,0.7665888077766017,0.0001,1.0,1e-06,2000,0.1,0.020000000000000004,0.7665888077766017
12,grid,0.7665888077766017,0.0001,1.0,1e-06,2000,0.5,0.1,0.7665888077766017
13,grid,0.7665888077766017,0.0001,1.0,1e-06,2000,1.0,0.2,0.7665888077766017
14,grid,0.7665888077766017,0.0001,1.0,1e-06,2000,5.0,1.0,0.7665888077766017
15,grid,0.7665888077766017,0.0001,1.0,1e-06,2000,20.0,4.0,0.7665888077766017
16,grid,0.7665888077766017,0.0001,10.0,1e-06,2000,0.1,0.020000000000000004,0.7665888077766017
17,grid,0.7665888077766017,0.0001,10.0,1e-06,2000,0.5,0.1,0.7665888077766017
18,grid,0.7665888077766017,0.0001,10.0,1e-06,2000,1.0,0.2,0.7665888077766017
19,grid,0.7665888077766017,0.0001,10.0,1e-06,2000,5.0,1.0,0.7665888077766017
20,grid,0.7665888077766017,0.0001,10.0,1e-06,2000,20.0,4.0,0.7665888077766017
21,grid,0.7665888077766017,0.0001,100.0,1e-06,2000,0.1,0.020000000000000004,0.7665888077766017
22,grid,0.7665888077766017,0.0001,100.0,1e-06,2000,0.5,0.1,0.7665888077766017
23,grid,0.7665888077766017,0.0001,100.0,1e-06,2000,1.0,0.2,0.7665888077766017
24,grid,0.7665888077766017,0.0001,100.0,1e-06,2000,5.0,1.0,0.7665888077766017
25,grid,0.7665888077766017,0.0001,100.0,1e-06,2000,20.0,4.0,0.7665888077766017
26,grid,0.7665888077766017,0.0001,0.01,1e-05,2000,0.1,0.020000000000000004,0.7665888077766017
27,grid,0.7665888077766017,0.0001,0.01,1e-05,2000,0.5,0.1,0.7665888077766017
28,grid,0.7665888077766017,0.0001,0.01,1e-05,2000,1.0,0.2,0.7665888077766017
29,grid,0.7665888077766017,0.0001,0.01,1e-05,2000,5.0,1.0,0.7665888077766017
30,grid,0.6347308867028293,0.0001,0.01,1e-05,2000,20.0,4.0,0.6347308867028293
31,grid,0.7665888077766017,0.0001,0.1,1e-05,2000,0.1,0.020000000000000004,0.7665888077766017
32,grid,0.7665888077766017,0.0001,0.1,1e-05,2000,0.5,0.1,0.7665888077766017
33,grid,0.7665888077766017,0.0001,0.1,1e-05,2000,1.0,0.2,0.7665888077766017
34,grid,0.7665888077766017,0.0001,0.1,1e-05,2000,5.0,1.0,0.7665888077766017
35,grid,0.6347308867028293,0.0001,0.1,1e-05,2000,20.0,4.0,0.6347308867028293
36,grid,0.7665888077766017,0.0001,1.0,1e-05,2000,0.1,0.020000000000000004,0.7665888077766017
37,grid,0.7665888077766017,0.0001,1.0,1e-05,2000,0.5,0.1,0.7665888077766017
38,grid,0.7665888077766017,0.0001,1.0,1e-05,2000,1.0,0.2,0.7665888077766017
39,grid,0.7665888077766017,0.0001,1.0,1e-05,2000,5.0,1.0,0.7665888077766017
40,grid,0.6347308867028293,0.0001,1.0,1e-05,2000,20.0,4.0,0.6347308867028293
41,grid,0.7665888077766017,0.0001,10.0,1e-05,2000,0.1,0.020000000000000004,0.7665888077766017
42,grid,0.7665888077766017,0.0001,10.0,1e-05,2000,0.5,0.1,0.7665888077766017
43,grid,0.7665888077766017,0.0001,10.0,1e-05,2000,1.0,0.2,0.7665888077766017
44,grid,0.7665888077766017,0.0001,10.0,1e-05,2000,5.0,1.0,0.7665888077766017
45,grid,0.6347308867028293,0.0001,10.0,1e-05,2000,20.0,4.0,0.6347308867028293
46,grid,0.7665888077766017,0.0001,100.0,1e-05,2000,0.1,0.020000000000000004,0.7665888077766017
47,grid,0.7665888077766017,0.0001,100.0,1e-05,2000,0.5,0.1,0.7665888077766017
48,grid,0.7665888077766017,0.0001,100.0,1e-05,2000,1.0,0.2,0.7665888077766017
49,grid,0.7665888077766017,0.0001,100.0,1e-05,2000,5.0,1.0,0.7665888077766017
50,grid,0.6613152701437723,0.0001,100.0,1e-05,2000,20.0,4.0,0.6613152701437723
51,grid,0.7665888077766017,0.0001,0.01,0.0001,2000,0.1,0.020000000000000004,0.7665888077766017
52,grid,0.7665888077766017,0.0001,0.01,0.0001,2000,0.5,0.1,0.7665888077766017
53,grid,0.7665888077766017,0.0001,0.01,0.0001,2000,1.0,0.2,0.7665888077766017
54,grid,0.6613152701437723,0.0001,0.01,0.0001,2000,5.0,1.0,0.6613152701437723
55,grid,0.6186455985137862,0.0001,0.01,0.0001,2000,20.0,4.0,0.6186455985137862
56,grid,0.7665888077766017,0.0001,0.1,0.0001,2000,0.1,0.020000000000000004,0.7665888077766017
57,grid,0.7665888077766017,0.0001,0.1,0.0001,2000,0.5,0.1,0.7665888077766017
58,grid,0.7665888077766017,0.0001,0.1,0.0001,2000,1.0,0.2,0.7665888077766017
59,grid,0.6613152701437723,0.0001,0.1,0.0001,2000,5.0,1.0,0.6613152701437723
60,grid,0.6347308867028293,0.0001,0.1,0.0001,2000,20.0,4.0,0.6347308867028293
61,grid,0.7665888077766017,0.0001,1.0,0.0001,2000,0.1,0.020000000000000004,0.7665888077766017
62,grid,0.7665888077766017,0.0001,1.0,0.0001,2000,0.5,0.1,0.7665888077766017
63,grid,0.7665888077766017,0.0001,1.0,0.0001,2000,1.0,0.2,0.7665888077766017
64,grid,0.6613152701437723,0.0001,1.0,0.0001,2000,5.0,1.0,0.6613152701437723
65,grid,0.6347308867028293,0.0001,1.0,0.0001,2000,20.0,4.0,0.6347308867028293
66,grid,0.7665888077766017,0.0001,10.0,0.0001,2000,0.1,0.020000000000000004,0.7665888077766017
67,grid,0.7665888077766017,0.0001,10.0,0.0001,2000,0.5,0.1,0.7665888077766017
68,grid,0.7665888077766017,0.0001,10.0,0.0001,2000,1.0,0.2,0.7665888077766017
69,grid,0.6452299819547292,0.0001,10.0,0.0001,2000,5.0,1.0,0.6452299819547292
70,grid,0.6347308867028293,0.0001,10.0,0.0001,2000,20.0,4.0,0.6347308867028293
71,grid,0.7665888077766017,0.0001,100.0,0.0001,2000,0.1,0.020000000000000004,0.7665888077766017
72,grid,0.7665888077766017,0.0001,100.0,0.0001,2000,0.5,0.1,0.7665888077766017
73,grid,0.7665888077766017,0.0001,100.0,0.0001,2000,1.0,0.2,0.7665888077766017
74,grid,0.7665888077766017,0.0001,100.0,0.0001,2000,5.0,1.0,0.7665888077766017
75,grid,0.6613152701437723,0.0001,100.0,0.0001,2000,20.0,4.0,0.6613152701437723
76,grid,0.7665888077766017,0.0001,0.01,0.001,2000,0.1,0.020000000000000004,0.7665888077766017
77,grid,0.7665888077766017,0.0001,0.01,0.001,2000,0.5,0.1,0.7665888077766017
78,grid,0.7277933410366155,0.0001,0.01,0.001,2000,1.0,0.2,0.7277933410366155
79,grid,0.7277933410366155,0.0001,0.01,0.001,2000,5.0,1.0,0.7277933410366155
80,grid,0.7536269617866016,0.0001,0.01,0.001,2000,20.0,4.0,0.7536269617866016
81,grid,0.7665888077766017,0.0001,0.1,0.001,2000,0.1,0.020000000000000004,0.7665888077766017
82,grid,0.7665888077766017,0.0001,0.1,0.001,2000,0.5,0.1,0.7665888077766017
83,grid,0.7277933410366155,0.0001,0.1,0.001,2000,1.0,0.2,0.7277933410366155
84,grid,0.7277933410366155,0.0001,0.1,0.001,2000,5.0,1.0,0.7277933410366155
85,grid,0.7309167832356586,0.0001,0.1,0.001,2000,20.0,4.0,0.7309167832356586
86,grid,0.7665888077766017,0.0001,1.0,0.001,2000,0.1,0.020000000000000004,0.7665888077766017
87,grid,0.7665888077766017,0.0001,1.0,0.001,2000,0.5,0.1,0.7665888077766017
88,grid,0.7665888077766017,0.0001,1.0,0.001,2000,1.0,0.2,0.7665888077766017
89,grid,0.6452299819547292,0.0001,1.0,0.001,2000,5.0,1.0,0.6452299819547292
90,grid,0.6528838223933644,0.0001,1.0,0.001,2000,20.0,4.0,0.6528838223933644
91,grid,0.7665888077766017,0.0001,10.0,0.001,2000,0.1,0.020000000000000004,0.7665888077766017
92,grid,0.7665888077766017,0.0001,10.0,0.001,2000,0.5,0.1,0.7665888077766017
93,grid,0.7665888077766017,0.0001,10.0,0.001,2000,1.0,0.2,0.7665888077766017
94,grid,0.6452299819547292,0.0001,10.0,0.001,2000,5.0,1.0,0.6452299819547292
95,grid,0.6347308867028293,0.0001,10.0,0.001,2000,20.0,4.0,0.6347308867028293
96,grid,0.7665888077766017,0.0001,100.0,0.001,2000,0.1,0.020000000000000004,0.7665888077766017
97,grid,0.7665888077766017,0.0001,100.0,0.001,2000,0.5,0.1,0.7665888077766017
98,grid,0.7665888077766017,0.0001,100.0,0.001,2000,1.0,0.2,0.7665888077766017
99,grid,0.7665888077766017,0.0001,100.0,0.001,2000,5.0,1.0,0.7665888077766017
100,grid,0.6613152701437723,0.0001,100.0,0.001,2000,20.0,4.0,0.6613152701437723
101,grid,0.7665888077766017,0.0001,0.01,0.01,2000,0.1,0.020000000000000004,0.7665888077766017
102,grid,0.7665888077766017,0.0001,0.01,0.01,2000,0.5,0.1,0.7665888077766017
103,grid,0.7277933410366155,0.0001,0.01,0.01,2000,1.0,0.2,0.7277933410366155
104,grid,0.7665888077766017,0.0001,0.01,0.01,2000,5.0,1.0,0.7665888077766017
