run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,0.7665888077766017,0.0006,0.01,1e-05,2000,0.01,0.012,0.7665888077766017
2,grid,0.7665888077766017,0.0006,0.01,1e-05,2000,0.1,0.12,0.7665888077766017
3,grid,0.7665888077766017,0.0006,0.01,1e-05,2000,0.5,0.6,0.7665888077766017
4,grid,0.7665888077766017,0.0006,0.01,1e-05,2000,1.0,1.2,0.7665888077766017
5,grid,0.6918221696614394,0.0006,0.01,1e-05,2000,5.0,6.0,0.6918221696614394
6,grid,0.6347308867028293,0.0006,0.01,1e-05,2000,10.0,12.0,0.6347308867028293
7,grid,0.6370821018633782,0.0006,0.01,1e-05,2000,20.0,24.0,0.6370821018633782
8,grid,0.7665888077766017,0.0006,0.1,1e-05,2000,0.01,0.012,0.7665888077766017
9,grid,0.7665888077766017,0.0006,0.1,1e-05,2000,0.1,0.12,0.7665888077766017
10,grid,0.7665888077766017,0.0006,0.1,1e-05,2000,0.5,0.6,0.7665888077766017
11,grid,0.7665888077766017,0.0006,0.1,1e-05,2000,1.0,1.2,0.7665888077766017
12,grid,0.6918221696614394,0.0006,0.1,1e-05,2000,5.0,6.0,0.6918221696614394
13,grid,0.6347308867028293,0.0006,0.1,1e-05,2000,10.0,12.0,0.6347308867028293
14,grid,0.6370821018633782,0.0006,0.1,1e-05,2000,20.0,24.0,0.6370821018633782
15,grid,0.7665888077766017,0.0006,1.0,1e-05,2000,0.01,0.012,0.7665888077766017
16,grid,0.7665888077766017,0.0006,1.0,1e-05,2000,0.1,0.12,0.7665888077766017
17,grid,0.7665888077766017,0.0006,1.0,1e-05,2000,0.5,0.6,0.7665888077766017
18,grid,0.7665888077766017,0.0006,1.0,1e-05,2000,1.0,1.2,0.7665888077766017
19,grid,0.6918221696614394,0.0006,1.0,1e-05,2000,5.0,6.0,0.6918221696614394
20,grid,0.6347308867028293,0.0006,1.0,1e-05,2000,10.0,12.0,0.6347308867028293
21,grid,0.6370821018633782,0.0006,1.0,1e-05,2000,20.0,24.0,0.6370821018633782
22,grid,0.7665888077766017,0.0006,10.0,1e-05,2000,0.01,0.012,0.7665888077766017
23,grid,0.7665888077766017,0.0006,10.0,1e-05,2000,0.1,0.12,0.7665888077766017
24,grid,0.7665888077766017,0.0006,10.0,1e-05,2000,0.5,0.6,0.7665888077766017
25,grid,0.7665888077766017,0.0006,10.0,1e-05,2000,1.0,1.2,0.7665888077766017
26,grid,0.7050831624856724,0.0006,10.0,1e-05,2000,5.0,6.0,0.7050831624856724
27,grid,0.6347308867028293,0.0006,10.0,1e-05,2000,10.0,12.0,0.6347308867028293
28,grid,0.6531673900524213,0.0006,10.0,1e-05,2000,20.0,24.0,0.6531673900524213
29,grid,0.7665888077766017,0.0006,100.0,1e-05,2000,0.01,0.012,0.7665888077766017
30,grid,0.7665888077766017,0.0006,100.0,1e-05,2000,0.1,0.12,0.7665888077766017
31,grid,0.7665888077766017,0.0006,100.0,1e-05,2000,0.5,0.6,0.7665888077766017
32,grid,0.7665888077766017,0.0006,100.0,1e-05,2000,1.0,1.2,0.7665888077766017
33,grid,0.7277933410366155,0.0006,100.0,1e-05,2000,5.0,6.0,0.7277933410366155
34,grid,0.6613152701437723,0.0006,100.0,1e-05,2000,10.0,12.0,0.6613152701437723
