alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,max_steps_long,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_success_rate_200,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_success_rate_200,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:6,ok,,73.73048565909266,0.01,0.01,-1.0011088661152918,-1.0036000825206175,0.003094229374508503,0.0,0.0,-0.9999734386011134,-1.0000601106245386,4.387742598268983e-05,-66.9659924115324,1076.8578639311631,-137.2779564903842,-66.70284678166335,9750.81126688767,29.010332052858764,8.175185905134576,0.040369279686643944,127
0.0005,3e-05,2.0,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,74.34031186602078,0.01,0.01,-1.0019406833585307,-1.0044989835674352,0.003375673859715924,0.0,0.0,-0.9999734386011134,-1.000060216724892,4.405292108553065e-05,-42.56491197302409,832.7738692134997,-94.24351090234565,-42.33343548878692,9349.622574307263,11.19988261197501,8.130057703152035,0.04609012077697379,442
0.0005,3e-05,0.1,20000,0.003,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,200.40558389108628,0.0,0.0,-0.9998671623276308,-1.0025682495303554,0.0014474717822214988,0.0,0.0,-0.9999734386011134,-1.0000511878169518,3.699885946783574e-05,3.714472473237634,-67.61357338544556,7.186053862694719,3.9495514709228905,612.1262930683419,0.9877649660103283,0.5960370308469708,0.04110471861087206,177
0.0005,3e-05,1.0,20000,0.03,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,204.5136337268632,0.0,0.0,-0.9999001940831072,-1.0008260831826006,0.0010172435449479155,0.0,0.0,-0.9999734386011134,-1.000051700767602,7.71720737623764e-05,8.179987707986665,-234.00045165089745,22.436437450276483,8.460386396855101,1570.313625947796,12.628187296371165,2.5109715423713603,0.030303205606328217,402
0.0005,3e-05,0.1,20000,0.3,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:7,ok,,271.78756480896845,0.0,0.0,-0.9999729437187912,-1.0001133606857724,0.00011811798720596741,0.0,0.0,-0.9999734386011134,-1.0000031249399666,9.424787484770834e-08,-0.17642360662327472,-7.144534652850237,0.6617311199160167,-0.04395175066038398,93.9070637148754,0.10541195799571977,0.08567566566040433,1.320145948674994e-05,217
0.0005,3e-05,0.01,5000,0.1,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,69.28439439390786,0.0,0.0,-0.9999734386011134,-1.0002096428569807,0.00020151912025267448,0.0,0.0,-0.9999734386011134,-1.0000031252495905,1.0823337112090847e-07,-2.109400486647644,556.6320971099884,-44.478229807075074,1.7062984089254964,2723.5699492369963,15.772885085632385,18.631113796103183,0.014694374133254499,25
0.0005,3e-05,0.5,5000,0.1,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:2,ok,,71.30035315197892,0.0,0.0,-0.9999734386011134,-1.0002100284847832,0.00019992295457186096,0.0,0.0,-0.9999734386011134,-1.0000031252495905,1.0823337112090847e-07,-2.317869807469471,436.9970258687964,-45.1134662737903,1.1868976988769422,2607.6659286886907,15.575469165567123,5.3379557649120395,0.019168545608548613,235
0.0005,3e-05,0.1,5000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,71.54494694713503,0.0,0.0,-0.9999734386011134,-1.0001770325303894,0.00016992915845612036,0.0,0.0,-0.9999734386011134,-1.0000034415964656,6.051129005829229e-07,-2.859150879968322,-52.506061193742994,4.875932078559372,-1.4022684145364366,527.7985723924338,1.3464738387070365,1.0021723031863645,0.01072182384033781,124
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,71.72982151713222,0.0,0.0,-0.9999734386011134,-1.0002180509171639,0.00020704272174603354,0.0,0.0,-0.9999734386011134,-1.0000031252495905,1.0823337112090847e-07,-0.6581604332560431,432.2525435137169,-40.5433576819064,2.8718884495281083,2618.689799486301,10.025657684018254,7.112379762491699,0.022576505907144856,130
0.0005,3e-05,0.01,5000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:2,ok,,71.9359251789283,0.0,0.0,-0.9999734386011134,-1.000172033581137,0.0001646436759095146,0.0,0.0,-0.9999734386011134,-1.0000034415964656,6.051129005829229e-07,-2.5765788658274626,-45.808240281172004,4.5355704582482845,-1.2079166297077386,511.01034533885775,3.230990720127639,0.8839014983464055,0.0074974027694902565,20
0.0005,3e-05,2.0,5000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:6,ok,,72.90020070783794,0.0,0.0,-0.9999734386011134,-1.0001999475820273,0.00019347777424028696,0.0,0.0,-0.9999734386011134,-1.0000303596511415,3.7228380985996796e-05,-3.3648935377782943,-53.6138928866292,6.474155110741701,-1.5738390256211812,588.3869083949717,4.782767651250051,1.7321820805811137,0.0017296731524907398,438
0.0005,3e-05,1.0,5000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:5,ok,,73.7534233990591,0.0,0.0,-0.9999734386011134,-1.0001947953498038,0.00018820235098839655,0.0,0.0,-0.9999734386011134,-1.0000303596511415,3.7228380985996796e-05,-3.377871584402741,-54.98408535942772,6.525813897707047,-1.6370712818406323,579.5793184624827,4.781348696392138,1.6769415085453212,0.004118901171942194,334
0.0005,3e-05,0.5,5000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:4,ok,,73.8182333628647,0.0,0.0,-0.9999734386011134,-1.0001667224050446,0.00015901128409906182,0.0,0.0,-0.9999734386011134,-1.0000034415964656,6.051129005829229e-07,-2.681203342476719,-48.09704221205509,4.356644974641852,-1.396504020676669,494.1172766118686,1.897304113749637,0.7180429536944931,0.005684431021417629,229
0.0005,3e-05,2.0,5000,0.1,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:4,ok,,73.84865763410926,0.0,0.0,-0.9999734386011134,-1.0002340204198097,0.00022600300781017648,0.0,0.0,-0.9999734386011134,-1.0000031252495905,1.0823337112090847e-07,0.1681809390051967,367.59799367424205,-37.81152866887598,2.624919262961818,2171.984548849447,12.148060496006309,4.920671842628115,0.018772047043526013,445
0.0005,3e-05,1.0,5000,0.1,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,74.41444906592369,0.0,0.0,-0.9999734386011134,-1.0002034078473083,0.00019221942254420404,0.0,0.0,-0.9999734386011134,-1.0000031252495905,1.0823337112090847e-07,0.699025355044185,445.4862943371032,-52.431156530080614,3.6726003437079733,2398.1205442860464,12.617518507000563,11.030709495809567,0.020585450276235828,340
0.0005,3e-05,0.01,10000,0.3,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,112.83305093110539,0.0,0.0,-0.9999734386011134,-1.0001290633289759,8.699915956876337e-05,0.0,0.0,-0.9999734386011134,-1.0000030815453074,2.23611377213613e-08,-0.5839478260788789,-18.16380736397452,1.5536964827802784,-0.25195719434955166,224.63541919528302,0.024180456602605815,0.3638509760275733,1.2042262832900844e-05,68
0.0005,3e-05,1.0,10000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,113.384338212898,0.0,0.0,-0.9999734386011134,-1.0000698082502477,5.9307274135429024e-05,0.0,0.0,-0.9999734386011134,-1.0000034413387138,6.04351670840228e-07,-1.0721309004143738,-38.03437954725662,3.3300519629915977,-0.6085588141658332,278.60282125409316,1.6789965240499902,1.5605060292924646,0.0120561817913791,368
0.0005,3e-05,0.01,10000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:5,ok,,115.28061056882143,0.0,0.0,-0.9999734386011134,-1.0000761794755908,5.8717218487385573e-05,0.0,0.0,-0.9999734386011134,-1.0000034413387138,6.04351670840228e-07,-0.23143749561475113,-32.20113409097906,2.15266631550751,0.09247115260696154,220.355979708467,6.516289696887855,3.3364902101517777,0.005707086966114219,54
0.0005,3e-05,0.01,10000,0.03,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:4,ok,,115.44172335788608,0.0,0.0,-0.9999734386011134,-1.0001536221643768,0.00016692201168414672,0.0,0.0,-0.9999734386011134,-1.000003125247602,1.1196729394253003e-07,1.3008916288195636,353.1726512845139,-38.2698122073847,4.228320333975611,2380.1744516506205,3.9069004104369434,6.027758853126794,0.019251505176122185,53
