Dataset Size,Epsilon,Proportions,Init Mode,Coverage Ratio,Log Coverage,Task Success,On-Data Quality,Optimal States Quality,Final Reward
8000,0.3,100% Eps-Greedy,Fixed,65.20008134625175,1.814248137575574,-1.5213680977153583,1.687253812860779,0.40083636362928127,0.1521368097715358
12000,0.3,100% Eps-Greedy,Fixed,65.16403958587858,1.8140079988328732,-1.3189405077615453,1.726261816559443,0.4159583417556111,0.1318940507761545
16000,0.3,100% Eps-Greedy,Fixed,65.15804314738492,1.8139680329253909,-1.4473109421231893,1.6580814484862116,0.400278785561868,0.1447310942123189
20000,0.3,100% Eps-Greedy,Fixed,65.16405518322384,1.8140081027834603,-1.2887332938349412,1.723532301899358,0.4229542091933206,0.12887332938349408
24000,0.3,100% Eps-Greedy,Fixed,65.16390868565473,1.8140071264298983,-1.4803472278160679,1.784200113991623,0.4335487513480697,0.14803472278160676
8000,0.4,100% Eps-Greedy,Fixed,65.28910508807122,1.8148407158096085,-1.291898797180354,1.5329480760355254,0.3655140637854723,0.12918987971803536
12000,0.4,100% Eps-Greedy,Fixed,65.26770252975263,1.814698325485745,-1.8153396010071847,1.5921922899148822,0.3836239909693548,0.18153396010071843
16000,0.4,100% Eps-Greedy,Fixed,65.27780139440709,1.8147655186263714,-1.429474418980877,1.5457035888371533,0.37200349791834325,0.14294744189808767
20000,0.4,100% Eps-Greedy,Fixed,65.30308118136155,1.8149336729824856,-1.2796029076339168,1.515353030517721,0.3744393301518206,0.12796029076339166
24000,0.4,100% Eps-Greedy,Fixed,65.26118166176549,1.8146549331438286,-1.6353717620144896,1.538825332741438,0.3708142918904459,0.16353717620144892
8000,0.5,100% Eps-Greedy,Fixed,65.42693710380985,1.8157565897153045,-1.1751759310349694,1.2862887412330475,0.2969266580390067,0.11751759310349692
12000,0.5,100% Eps-Greedy,Fixed,65.42261819814524,1.81572792050211,-1.60027175149616,1.330641852600543,0.28981972469752776,0.16002717514961595
16000,0.5,100% Eps-Greedy,Fixed,65.41192539079188,1.8156569327168879,-1.5800703128764186,1.330377235772193,0.2857514084752827,0.15800703128764182
20000,0.5,100% Eps-Greedy,Fixed,65.38012366917926,1.8154457377309108,-1.60259900197611,1.336453645881767,0.29168276064045634,0.16025990019761097
24000,0.5,100% Eps-Greedy,Fixed,65.39513133843074,1.8155454163432045,-1.692097276186941,1.3788999054244597,0.2805933157037062,0.16920972761869407
8000,0.6,100% Eps-Greedy,Fixed,65.5956768205036,1.8168752175026575,-1.3572778593564094,1.3332547014033944,0.26609706176983544,0.13572778593564092
12000,0.6,100% Eps-Greedy,Fixed,65.59848202958787,1.8168937897750321,-1.6249362965447036,1.4126025294813664,0.26491747359425866,0.16249362965447034
16000,0.6,100% Eps-Greedy,Fixed,65.57794418522803,1.8167577977708904,-1.2823147200274194,1.2604269276993423,0.26381455315215674,0.1282314720027419
20000,0.6,100% Eps-Greedy,Fixed,65.60430798251055,1.8169323587598467,-1.6816771187147284,1.3939006864272645,0.2732191229197645,0.1681677118714728
24000,0.6,100% Eps-Greedy,Fixed,65.61166819728916,1.8169810799714003,-1.399578928837062,1.3195525331244198,0.2723981016384694,0.13995789288370616
8000,0.7,100% Eps-Greedy,Fixed,67.0418774080924,1.8263461675637236,-1.268656144473341,2.0666079693676056,0.7806109087292854,0.12686561444733407
12000,0.7,100% Eps-Greedy,Fixed,66.51889364281183,1.8229450173241266,-1.9327633047331798,1.7694090187547646,0.3524936675233982,0.19327633047331794
16000,0.7,100% Eps-Greedy,Fixed,66.59786219589874,1.8234602884582005,-1.9810583764128815,1.8479157661495529,0.3813035898678862,0.1981058376412881
20000,0.7,100% Eps-Greedy,Fixed,66.67366999518629,1.8239543611521263,-1.7426434845267122,1.6465296417178812,0.3422583455426811,0.1742643484526712
24000,0.7,100% Eps-Greedy,Fixed,66.36051183990888,1.8219097270869642,-1.5625501629758576,1.5480394354089106,0.335819022767125,0.15625501629758573
8000,0.3,90% Eps-Greedy / 10% Random,Fixed,65.24561246957377,1.8145513122659482,-1.3184624522651973,1.3740293695457997,0.26706020353721094,0.1318462452265197
12000,0.3,90% Eps-Greedy / 10% Random,Fixed,65.28657885530018,1.8148239113186118,-1.5537279950062552,1.5025743888355687,0.2734319656527716,0.1553727995006255
16000,0.3,90% Eps-Greedy / 10% Random,Fixed,65.29724811605544,1.8148948787759114,-1.3642877114843952,1.3979704137593745,0.2667008391362944,0.1364287711484395
20000,0.3,90% Eps-Greedy / 10% Random,Fixed,65.294097331716,1.8148739222837662,-1.44573766894083,1.4059303324600712,0.252368460754222,0.14457376689408297
24000,0.3,90% Eps-Greedy / 10% Random,Fixed,65.28380719463314,1.8148054734940788,-1.3678441357490458,1.3717877817828674,0.26897679566203386,0.13678441357490456
8000,0.4,90% Eps-Greedy / 10% Random,Fixed,65.34307111917946,1.8151995424254435,-1.441853721565483,1.3572068914757511,0.24082721635831414,0.14418537215654825
12000,0.4,90% Eps-Greedy / 10% Random,Fixed,65.39038563588396,1.8155138985960197,-1.4593908324755223,2.178596391404595,0.4934337092089374,0.1459390832475522
16000,0.4,90% Eps-Greedy / 10% Random,Fixed,65.35966376108415,1.8153098093278877,-1.3208266659353591,1.3155038580797331,0.2516799464751082,0.13208266659353587
20000,0.4,90% Eps-Greedy / 10% Random,Fixed,65.35676855892495,1.8152905711908054,-1.3449071709626401,1.2835467389436817,0.2397699448544291,0.13449071709626398
24000,0.4,90% Eps-Greedy / 10% Random,Fixed,65.35829751392059,1.8153007309487839,-1.273770635187757,1.2964694834419415,0.2573289112499227,0.12737706351877567
8000,0.5,90% Eps-Greedy / 10% Random,Fixed,65.4866531768837,1.8161527955295371,-1.432528237465776,1.357362032462358,0.2541504429735344,0.14325282374657755
12000,0.5,90% Eps-Greedy / 10% Random,Fixed,65.5067173560949,1.8162858368025119,-1.2323245295540788,1.2074437687033441,0.24079752252976047,0.12323245295540786
16000,0.5,90% Eps-Greedy / 10% Random,Fixed,65.51926282488787,1.816369002414077,-1.297849744538495,1.227114599360945,0.24320239726436704,0.12978497445384948
