alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,0.0001,0.1,20000,0.01,10,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,160.1557849610108,0.95,-0.9368989183946607,-0.9537182433401561,0.1378024755867961,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.1223884641481896,-2.2718691684506487,0.2433705965903849,-0.030657051907002714,99.99999999999999,0.4437719007892168,0.5797394651493262,0.003455968017789777,1715
0.0005,3e-05,0.5,10000,0.003,20,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,133.9465958429937,0.95,-0.9546228091481234,-0.9708682081824497,0.24895794407301686,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.1690793260799186,-87.11125352822214,4.628723817420652,3.4031192705330757,1670.2484673177607,1.308857163933606,1.4371863795489905,0.03120008307912904,494
0.0005,0.0001,0.1,20000,0.003,10,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,170.86444633199426,0.94,-0.9331412769967516,-0.9478396840525695,0.12431134961105494,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.08666684202703512,-2.6963437429309254,0.20837016693801336,0.003989830708281501,99.99999999999999,0.21168332955595742,0.3062220075665397,0.009663271655102876,1692
0.0005,0.0001,0.1,20000,0.003,20,projection,,100.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,301.03442426599213,0.94,-0.9472511244158467,-0.9531427011394643,0.13219638247215082,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.10895603024253554,-2.446035593293015,0.08676808293008369,-0.01820660387688299,100.00000000000001,0.4271077847703369,0.4372469644918503,0.004693724854479289,1708
0.0005,3e-05,0.1,10000,0.01,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,81.13650169999892,0.94,-0.9515952410673372,-0.9614197268785559,0.2254092332889892,1.0,-0.82274123760695,-0.8227412376069501,0.0,-4.403425531213154,45.186447255821335,-12.808422595934655,-4.193819776085782,2374.751666085112,2.6118596026456,2.6511406385491343,0.02792864625401947,141
0.0005,3e-05,1.0,10000,0.003,20,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,127.90830633500445,0.94,-0.959857553076394,-0.9756092916952718,0.2608183529112271,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.663068803172626,-86.0977657556017,5.176151247747301,3.8742673082365924,1927.5275553348115,1.3250229724325557,1.1905255402973849,0.023838378834348486,853
0.0005,3e-05,0.5,10000,0.003,20,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,141.31136996200075,0.93,-0.9430445385238272,-0.9756340011049699,0.23480925636513536,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.09546341076253867,-4.008324451485585,-0.2809872536396757,0.019923514509720894,1000.0000000000001,0.6405755087397855,0.9719783959839267,0.013018202048949892,506
0.0005,0.0001,0.1,10000,0.003,10,projection,,1000.0,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,77.60158921699622,0.93,-0.9456674032027608,-0.9585930047672698,0.21628659002784445,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.6558016364328736,15.18065750390758,-3.5470190916690174,-1.4543087542526787,999.9999999999999,0.5448222027631084,0.5680100166744793,0.029313741179435235,1571
0.0005,3e-05,2.0,10000,0.003,20,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,128.10451220600225,0.93,-0.9507193725353287,-0.9741195815237473,0.2554811521646532,1.0,-0.82274123760695,-0.8227412376069501,0.0,5.1198021841746435,-107.9170493527395,10.147787099450282,5.31875558772101,1969.6671385380332,1.3254564420990904,1.4529147580293993,0.024569934641498606,1213
0.0005,3e-05,1.0,10000,0.003,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,77.694168213995,0.93,-0.9712757303055289,-1.0059972787502058,0.2920960443204458,1.0,-0.82274123760695,-0.8227412376069501,0.0,4.697994987950293,-114.23881574114372,12.175550837405332,4.893311087525793,1303.5456290198586,0.4521359685048074,1.2146510381212805,0.020719729826880365,842
