alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,bandwidth_scale,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,fisher_damping,cg_iters,cg_tol,state_weight_update,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,3e-05,0.01,1000,0.1,20,3e-08,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,282.49155508900003,0.48,0.25515348095833507,77.98400581658878,0.9055442528467418,1.0,0.86413069581398,93.13860013860585,0.0,-15.654071677577724,-1217.081087857881,9.817620891822019,-15.381769183294198,4855.47290477921,5.11151406858382,35.66765509169768,0.031048544887022328,46
0.0003,3e-05,0.01,1000,0.1,40,3e-08,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,406.31235478400777,0.18,-0.01609192009996878,67.00925376564354,1.5520323177948827,1.0,0.86413069581398,93.13860013860585,0.0,-7.128258699625476,-2804.714354010079,34.682938326030765,-6.509076747737664,7088.738185616771,22.133837297614857,63.773226677543484,0.025152724911588206,120
0.0003,3e-05,0.01,1000,0.3,20,3e-08,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,349.37375283500296,0.1,-0.08548376970570429,50.53403086256398,2.6913705669365817,1.0,0.86413069581398,93.13860013860585,0.0,2.753705937949455,-2523.548285133181,40.28296719812267,3.4517797129536736,7417.642545229877,35.90703217891812,99.21997566292487,0.0371631194144624,93
0.0003,3e-05,0.01,1000,0.1,20,1e-07,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,381.0584746770037,0.42,0.20102137959689073,77.26485564443404,0.8210366542526355,0.0,-0.1820930624027691,-0.9999999999999986,0.9413860013860593,-16.55669532675448,-1172.5340072545155,7.367951192104278,-15.461298001065664,4861.514009051478,12.313497870259091,15.041361838271927,0.019060222208443577,110
0.0003,3e-05,0.01,1000,0.1,20,1e-08,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,137.97970086600253,0.41,0.1944259338104142,77.26870083250759,0.9492831709300048,0.0,-0.1820930624027691,-0.9999999999999992,4.706930006930299,-10.948667858051367,-1144.2129874043817,12.463418529419553,-10.925857492685218,4663.82089796339,8.220055039572971,54.03708611649518,0.0225606173648135,1
0.0003,3e-05,0.01,1000,0.1,40,1e-07,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,283.2251627660007,0.27,0.06832987999419157,67.5876247460271,1.4821858357780706,0.0,-0.1820930624027691,-0.9999999999999991,4.706930006930298,-20.069303322010384,-1600.2382116078181,7.984155661720335,-18.248097520050493,6193.076686268783,13.58266934715027,69.6878344719778,0.0235500714480184,48
0.0003,3e-05,0.01,1000,0.1,40,1e-08,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,360.8601483620005,0.25,0.044664731553733246,68.95252577637017,1.5716665263454679,0.0,-0.1820930624027691,-0.9999999999999986,5.648316008316358,-21.28015635045628,-1503.4105508121659,8.902539632485004,-21.191090494788355,6010.957685067268,16.254262714494672,76.07024637440026,0.022055553717368257,101
0.0003,3e-05,0.01,1000,0.1,40,3e-08,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,230.49024653199012,0.24,0.036690466247969705,67.93318440982605,1.6125809393191357,0.0,-0.1820930624027691,-0.9999999999999986,6.5897020097024175,-21.31669031148882,-1494.841198800822,7.292510832362541,-20.923005696088868,5678.590774099758,20.7085867082435,64.27381637207606,0.01995685106036194,18
0.0003,3e-05,0.01,1000,0.1,40,1e-07,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,358.5982332669955,0.18,-0.01764497180880862,49.73628705947121,4.602364188323694,0.0,-0.1820930624027691,-0.9999999999999991,7.531088011088477,-9.610290164521569,-548.9879943560784,6.160024640568328,-7.865634218233421,6002.95932891386,18.02417329164829,65.76085667144211,0.019339607659569342,99
0.0003,3e-05,0.01,1000,0.3,40,1e-08,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,469.1103131300042,0.18,-0.01857968820361658,68.28092291155185,1.2893869182607043,0.0,-0.1820930624027691,-0.9999999999999991,4.706930006930298,42.40996997696965,-8080.726213201738,102.95025676366424,42.71438980792668,10957.361966155819,135.91596038618013,152.9174559750133,0.1281591742478775,142
