alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,bandwidth_scale,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,fisher_damping,cg_iters,cg_tol,state_weight_update,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,3e-05,0.01,1000,0.1,20,0.0001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,349.16913508500147,0.37,-0.7610667588802643,-0.9367422811859146,3.1516910812732037,0.91,-0.2348475085410635,2.7969776299405607,0.14182218096846216,-4.370862210532763,-28.856431698900103,3.239311284960327,-2.20197319623678,211.48644219961398,8.656235625333489,12.11816473475671,0.0007612709596612846,95
0.0003,3e-05,0.01,1000,0.1,40,0.0001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,440.875183895012,0.37,-0.7611015810299648,-0.9494160757684497,3.1757163065121783,0.91,-0.2348475085410635,2.7969776299405607,0.14182218096846216,-4.268707724275775,-28.24309661305444,3.087924260852369,-2.1634339148295982,208.462554679937,16.430006425000663,22.040405457281256,0.0013869525811798695,129
0.0003,3e-05,0.01,1000,1.0,20,0.0001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,224.1196936500055,0.36,-0.7646699703070763,-0.9370929322614074,3.1695591092817272,0.91,-0.2348475085410635,2.7969776299405607,0.14182218096846216,-5.1678454125856135,-27.415480538546767,2.015785738431833,-2.7871158298884917,221.2821100385484,86.1393628670709,119.42824935806432,0.00711074604827934,131
0.0003,3e-05,0.01,1000,0.3,40,0.0001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,356.38602299100603,0.36,-0.7667850852979043,-0.9597645907803964,3.18368679176184,0.91,-0.2348475085410635,2.7969776299405607,0.14182218096846216,-4.4808579387401775,-33.434914740601535,3.508479224185921,-2.3246554330212854,210.89391959123583,48.86901848756402,68.67547642966744,0.004088706559651141,102
0.0003,3e-05,0.01,1000,0.3,20,0.0001,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,350.6279628290067,0.36,-0.7668697825856671,-0.9525033061883976,3.1822131717828386,0.91,-0.2348475085410635,2.7969776299405607,0.14182218096846216,-4.284817462599307,-27.813513414882543,2.9365452322265537,-2.173443555784478,208.75445248345665,25.951561235326956,35.48625869798869,0.002203015263963121,96
0.0003,3e-05,0.01,1000,1.0,20,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,259.2528336760006,0.29,-0.8018583176280465,-1.364719966276575,3.984087883085501,0.91,-0.2348475085410635,2.790370910059971,0.14341654059904638,-5.707714625503276,-55.83601444342576,5.027430472408665,-2.928729691238407,238.3161848718077,45.373704606232465,61.14502996854116,0.0032954589183841745,134
0.0003,3e-05,0.01,1000,0.1,20,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,394.9476873209933,0.29,-0.8024206415146387,-1.3290000560159125,3.931186687133392,0.91,-0.2348475085410635,2.790370910059971,0.14341654059904638,-5.705041894007339,-54.40204648072151,5.697002641873217,-2.867301832862972,240.68397650837983,4.2832357247949995,9.46739867972986,0.000413416418301116,122
0.0003,3e-05,0.01,1000,0.3,20,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,335.31969312400906,0.29,-0.8024881841005224,-1.3567197260636918,3.9737609082501786,0.91,-0.2348475085410635,2.790370910059971,0.14341654059904638,-5.466215020018378,-53.284723097976396,5.636231747112278,-2.744643851798442,235.86775893733386,13.376863760653578,19.932715022173078,0.0010964342625313002,83
0.0003,3e-05,0.01,1000,0.3,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,369.10389381999266,0.29,-0.8024881841005224,-1.3628882336774755,3.982723655407642,0.91,-0.2348475085410635,2.790370910059971,0.14341654059904638,-5.485944828355841,-51.90761141868802,5.553760017061743,-2.76541455244411,235.8384249006757,23.882190207412254,33.42137078351331,0.0017157717676906602,113
0.0003,3e-05,0.01,1000,0.1,40,0.0001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,389.72661271100515,0.29,-0.8024881841005224,-1.3491252110603746,3.9629588285489863,0.91,-0.2348475085410635,2.790370910059971,0.14341654059904638,-5.500515933003541,-53.19847882726532,5.60448876602066,-2.7696917229626568,236.24309366819023,7.7695035191246165,13.07258796412117,0.0005935491351469029,121
0.0003,3e-05,0.01,1000,0.1,20,1e-08,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,294.5273306230083,0.45,-0.6881001144579654,-0.7930866162346433,3.419816145434043,0.9,-0.23731719325965206,2.7854175127034995,0.19735390472390352,78.36008818279116,-1616.447950660916,162.74075066307066,78.16318518439003,1652.6753980567944,73.08956463994672,145.4842786720117,0.3519065683911511,23
0.0003,3e-05,0.01,1000,0.1,20,1e-05,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,305.8372286189988,0.35,-0.7706103344047734,-1.1610592197435394,3.525024893314039,0.9,-0.2372664184475662,2.7780642670527267,0.24267727338298511,-9.980792523403554,143.74280310186552,-36.37326028641367,-3.6650832836699117,1134.3340141193935,12.805185023798733,57.68920647675453,0.007289860391336717,32
0.0003,3e-05,0.01,1000,0.3,40,0.0001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,230.96376260100806,0.3,-0.7830582523489719,-0.9701106116821752,3.1826089559558315,0.9,-0.23825500677722997,2.7698837443107167,0.2629961298305743,-3.509229216552658,-14.782547497089435,3.0617389807931366,-1.9294581890490383,182.60664632494814,76.845906823214,98.82864152070289,0.007683122282222477,3
0.0003,3e-05,0.01,1000,0.1,20,0.0001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,268.9177949610021,0.3,-0.7906608062576739,-0.965990676169711,3.1886107146275795,0.9,-0.23825500677722997,2.7698837443107167,0.2629961298305743,-3.172985989100151,-8.44053312260105,2.192164758056798,-1.6074639248190006,181.8876911780962,13.532413668510687,16.274801602758945,0.0013972403413344075,11
0.0003,3e-05,0.01,1000,0.3,20,0.0001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,337.72427150698786,0.29,-0.7904766829655199,-0.9657002504758635,3.183139815552652,0.9,-0.23825500677722997,2.7698837443107167,0.2629961298305743,-3.1580145806167637,-14.591762612745322,3.2269750129981705,-1.6156070515980931,180.56005523588004,40.13641207941694,42.67334302693859,0.004621991325624625,86
0.0003,3e-05,0.01,1000,0.1,40,0.0001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,346.2111978190078,0.29,-0.7913605550654004,-0.9682651505952456,3.192953683030468,0.9,-0.23825500677722997,2.7698837443107167,0.2629961298305743,-3.104040865880131,-8.451509567736068,1.97152713106802,-1.5945401096770226,178.74713983983818,26.04159940053289,31.31297189543596,0.0026112070374583398,93
0.0003,3e-05,0.01,1000,1.0,20,3e-06,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,318.6979243359965,0.62,-0.5745124068302044,-0.0687246537770586,2.5317121382947985,0.89,-0.24290053397436892,2.715518754418928,0.3071739801794283,170.91974593363676,398.843990879132,116.68340034240173,185.99364195173524,3178.8822895331364,117.83060172641504,1777.3057963027827,0.24021757072908786,52
0.0003,3e-05,0.01,1000,1.0,20,3e-06,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,410.7522060409974,0.28,-0.8151330321905044,-1.762688012637269,4.06440967051642,0.89,-0.24830901927464893,2.480706699789737,0.4271978438041135,-28.740079296176226,-513.834718617137,35.726830247471106,-25.57040493014396,1477.5907574654127,72.00177251077206,104.49099121215349,0.10086171865259724,126
0.0003,3e-05,0.01,1000,1.0,20,3e-08,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,287.7887525630067,0.79,-0.39498926075114704,2.0876039240421944,0.4868719494958894,0.88,-0.24315013981632957,2.7297676221618774,0.29315763018601626,-52.63852434559141,9456.808587121537,-328.0932074265722,-52.22545426523104,5939.291903890444,526.9826516446096,1641.0960806835933,1.9791875724977144,21
0.0003,3e-05,0.01,1000,0.1,40,3e-08,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,313.263784869996,0.32,-0.7626514388214936,-1.4306497104820428,4.0862849575231905,0.82,-0.28599386865835336,1.6464034790706334,4.9483725547606205,28.870890238928098,2827.9972527769582,-267.51808488334365,29.073358107724854,3422.238514365888,80.67745326185225,543.3963024908261,0.15122842226000896,45
0.0003,3e-05,0.01,1000,1.0,40,1e-07,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,190.21767293699668,0.56,-0.5257744114588006,-0.17234627297839794,1.7032907591886186,0.81,-0.2930053877790007,2.403020365582303,0.36663445151862345,-368.3988469765243,-6867.972822767494,160.85881743536436,-364.28639169798765,9531.905023954068,99.63032329911735,4746.586191503097,0.870383005997306,132
0.0003,3e-05,0.01,1000,0.1,20,3e-08,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,296.9668985669996,0.43,-0.7572390744183071,-0.8368489489543538,3.3488716100839726,0.45,-0.6415747960090425,0.5303955301301834,1.527078267468611,125.68982372788956,-1800.162460646995,221.3706827642305,125.51582581020241,1607.0499305350052,89.15811667916184,178.79991509167877,0.3602197862343004,24
0.0003,3e-05,0.01,1000,0.1,20,3e-07,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,299.3039618719922,0.34,-0.7704159867767164,-0.3871932136040587,2.4389143190241236,0.38,-0.7160157847398939,0.29176073286096277,0.49173692716022216,91.93251678937742,-1964.8516464433944,200.24706644155773,92.0810501757676,1525.7924299182905,23.330285529112587,162.70913837494248,0.34470473485851516,26
0.0003,3e-05,0.01,1000,0.1,20,3e-06,2.0,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,344.9818279710016,0.08,-0.864933584012897,-1.1593279797572742,3.8270567504144815,0.35,-0.7310980128212037,0.021676068938932924,1.9117435902217057,-18.096696400838255,1107.200404355898,-120.16986370763384,-10.923777225772831,2217.360097322752,25.179698273636326,190.88973188567658,0.087909011049627,91
0.0003,3e-05,0.01,1000,0.1,40,3e-07,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,278.16078524400655,0.37,-0.73302011078794,-1.383153015594967,4.002296129206933,0.33,-0.7612153348472434,-0.8428911367707633,3.56449198620703,124.88476638504547,1614.8198047263395,-126.2057855006713,126.31268000594385,3096.906495348384,19.17739280780648,456.3374740419078,0.10218919786823714,19
0.0003,3e-05,0.01,1000,0.1,40,3e-06,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,331.87194312499196,0.3,-0.8037732612295204,-1.3557169136723377,4.581671421676997,0.31,-0.7735738126426962,-0.587362665939539,5.218532052926355,99.41218966354776,-3143.0646041920436,265.9692803871188,110.86685617667226,2794.423190202117,100.46457672821488,332.989676794405,0.18541465510810312,77
0.0003,3e-05,0.01,1000,0.1,20,0.001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,334.4744550750038,0.04,-0.8809509128495726,-1.3172208921514228,4.072058122109372,0.17,-0.8071259753419742,-0.5443852022686777,2.486783180751653,-5.70345540255096,-17.30257467401522,1.8575586417930474,-2.863652697170814,75.72197686166794,0.634194877124676,6.478384911486953,0.00016317091807064546,81
0.0003,3e-05,0.01,1000,0.1,40,0.001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,352.69829020999896,0.04,-0.8809509128495726,-1.3174897969987018,4.072154928833267,0.17,-0.8071259753419742,-0.5443852022686777,2.486783180751653,-5.693929746457304,-17.283484268958166,1.8561119423060122,-2.860975032424103,75.63135431666272,0.6365595929664152,6.464002073437528,3.477195110690053e-05,98
0.0003,3e-05,0.01,1000,0.3,20,0.001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,358.22966179098876,0.04,-0.88105940718163,-1.317203704510616,4.071282513386974,0.17,-0.8071259753419742,-0.5443852022686777,2.486783180751653,-5.699883041689072,-17.34291620971977,1.8660403471233602,-2.8552632047150555,75.78670064755099,0.6399977179227742,6.467901756246994,0.0005097321009832737,106
0.0003,3e-05,0.01,1000,0.3,40,0.001,1.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,380.388890481001,0.04,-0.88105940718163,-1.3176100893532632,4.072110608160992,0.17,-0.8071259753419742,-0.5443852022686777,2.486783180751653,-5.690002373124575,-17.287157246290807,1.8573047950425512,-2.858810468413845,75.60810294256773,0.6327774723869732,6.4670021261662995,0.0001041698371965898,117
0.0003,3e-05,0.01,1000,1.0,20,0.001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,249.8056660600123,0.07,-0.8714878581504759,-1.2962852991925229,3.9956080096867614,0.16,-0.8115538428528041,-0.6593830381492003,2.6540510295717836,-4.679439849070764,-38.755237819399284,4.4553868078022845,-2.381165993711186,68.84448263477991,0.48127373796219036,14.272458223728457,0.001413191528165466,135
0.0003,3e-05,0.01,1000,0.3,20,0.001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,271.0269789479935,0.07,-0.8714878581504759,-1.2965796339708298,3.99677086938239,0.16,-0.8115538428528041,-0.6593830381492003,2.6540510295717836,-4.743941853623134,-39.03574095216999,4.490067609399697,-2.4004451981710195,69.49390596908816,0.699360722346437,14.244820291305668,0.0004962656300408455,13
0.0003,3e-05,0.01,1000,0.1,20,0.001,2.5,reg_fixed,adam,warm,False,fogas_full,npg,exact,0.001,50,1e-10,normal,100,20,42,cpu,ok,,305.98930351900344,0.07,-0.8714878581504759,-1.2967873517112138,3.9978447866641225,0.16,-0.8115538428528041,-0.6593830381492003,2.6540510295717836,-4.765497804365199,-38.96649475452197,4.468350139508151,-2.417755849434944,69.55162803420328,0.6108254937829719,14.295824221770179,0.00016924213239136082,34
