problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,projected_gradient,4000,0.001,0.001,0.05,0.5,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.88,1.0,0.7777,0.9300000000000002,495.7382942190161,608
deterministic,projected_gradient,4000,0.001,0.001,0.05,10.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.88,1.0,0.7777,0.9300000000000002,536.6613860629732,646
deterministic,projected_gradient,4000,0.001,0.001,0.05,5.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.88,1.0,0.7777,0.9300000000000002,553.1938447230496,655
deterministic,projected_gradient,4000,0.001,0.001,0.05,2.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.88,1.0,0.7777,0.9300000000000002,735.6627005230403,835
deterministic,projected_gradient,4000,0.001,0.001,0.05,1.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.88,1.0,0.7777,0.9300000000000002,1171.5329722850001,1217
deterministic,projected_gradient,4000,0.001,0.001,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.88,1.0,0.7777,0.9300000000000002,1242.4882527529844,1254
deterministic,projected_gradient,3000,0.001,0.001,0.05,0.5,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.83,1.0,0.7201,0.9300000000000002,352.62160819303244,451
deterministic,projected_gradient,3000,0.001,0.001,0.05,1.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.83,1.0,0.7201,0.9300000000000002,355.200804158987,452
deterministic,projected_gradient,3000,0.001,0.001,0.05,10.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.83,1.0,0.7201,0.9300000000000002,457.96805509203114,474
deterministic,projected_gradient,3000,0.001,0.001,0.05,2.0,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.83,1.0,0.7201,0.9300000000000002,700.9170944860089,523
