problem,beta_update,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std
deterministic,projected_gradient,112,112,0,366.87670924670755,0.83,0.15633928571428574,0.23791131490125425,1.0,0.14285714285714285,0.35149982013099745,0.7201,-0.03144017857142857,0.26108907370316176,0.9300000000000002,-0.03857142857142854,0.3971947967480272
deterministic,fogas_diag,338,338,0,454.0198152334849,0.79,0.3634319526627219,0.30969123579450314,1.0,0.4230769230769231,0.49477987192459744,0.67,0.2008565088757396,0.3465410998129745,0.9300000000000002,0.2780769230769231,0.5591012552747953
deterministic,fogas_full,338,338,0,631.8995464515584,0.79,0.3634023668639053,0.3096949167778846,1.0,0.42011834319526625,0.49430944328015947,0.67,0.20081627218934903,0.34653696502978754,0.9300000000000002,0.2747337278106509,0.5585696709065803
deterministic,fenchel_mirror,16,16,0,418.7728590071929,0.76,0.13625,0.1931795365284153,1.0,0.0625,0.25,0.648,-0.053418750000000015,0.21410716388061377,0.9300000000000002,-0.129375,0.2825000000000001
deterministic,fenchel_br,2,2,0,499.88574592702207,0.14,0.135,0.007071067811865481,0.0,0.0,0.0,-0.05170000000000004,-0.057200000000000036,0.0077781745930520195,-0.2,-0.2,0.0
stochastic,fenchel_mirror,16,16,0,75.12317073536906,0.69,0.493125,0.21521210467815233,0.91,0.7075,0.3509320921963868,-0.6529000000000003,-1.1246593750000002,0.45845288460893135,-0.02259999999999991,-0.48190625000000004,0.8049651571910843
stochastic,fogas_diag,390,390,0,132.5456408997438,0.75,0.04412820512820513,0.14276604254592604,0.9,0.0638974358974359,0.21711520580053692,-0.5316500000000002,-1.943804615384616,0.2768740426489676,-0.036199999999999954,-1.8751238461538466,0.4740824451263123
stochastic,fogas_full,390,390,0,120.21118747769312,0.75,0.044128205128205124,0.14276604254592604,0.9,0.06389743589743588,0.21711520580053695,-0.5316500000000002,-1.9438069230769237,0.2768696329802183,-0.036199999999999954,-1.8751238461538469,0.4740824451263123
stochastic,projected_gradient,112,112,0,101.73922331675567,0.7,0.11910714285714288,0.18011284536544603,0.9,0.14526785714285717,0.2662382588755051,-0.5472000000000002,-1.8872138392857152,0.3809801937469578,-0.034599999999999936,-1.775829910714286,0.6163373489237616
stochastic,fenchel_br,2,2,0,83.68598654252128,0.29,0.215,0.1060660171779821,0.09,0.08,0.014142135623730944,-1.5763500000000001,-1.7362000000000004,0.22606203794533963,-1.9085000000000003,-1.9278750000000002,0.027400387770978606
