problem,ablation,beta_update,T,alpha,eta,rho,theta_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,theta_start_mode,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,theta_optimizer,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,zero_start_lambda,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.0001,,0.3,40,zero,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.97,1.0,0.8639,0.9300000000000002,56.61768936901353,25
deterministic,reg_fixed_lambda,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.0001,,0.3,40,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.96,1.0,0.8495999999999999,0.9300000000000002,61.98353552498156,103
deterministic,reg_fixed_lambda,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.0003,,0.3,40,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.8,1.0,0.6748999999999999,0.9300000000000002,58.76527174998773,32
deterministic,zero_start_lambda,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.0003,,0.3,40,zero,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.74,1.0,0.6087999999999998,0.9300000000000002,61.10684669803595,68
deterministic,zero_start_lambda,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,3e-05,,0.3,40,zero,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.68,1.0,0.5480999999999999,0.9300000000000002,61.270360913011245,76
deterministic,zero_start_inner_steps,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.001,,0.3,2,zero,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.65,1.0,0.5040999999999999,0.9300000000000002,49.93826072401134,6
deterministic,zero_start_inner_steps,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.001,,0.3,20,zero,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.62,1.0,0.4675999999999999,0.9300000000000002,52.89717895700596,9
deterministic,zero_start_inner_steps,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.001,,0.3,80,zero,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.57,1.0,0.4132999999999999,0.9300000000000002,63.66361359099392,121
deterministic,zero_start_inner_steps,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.001,,0.3,10,zero,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.55,1.0,0.3915999999999999,0.9300000000000002,54.47543777799001,11
deterministic,reg_fixed_inner_steps,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.001,,0.3,20,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.55,1.0,0.38999999999999985,0.9300000000000002,56.42336990003241,22
deterministic,reg_fixed_baseline,fogas_full,1000,0.001,0.0001,0.05,reg_fixed,0.001,,0.3,40,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,cpu,ok,,0.53,1.0,0.3685999999999999,0.9300000000000002,54.561060783977155,12
