problem,ablation,theta_mode,theta_start_mode,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std
deterministic,projection_dtheta,projection,warm,11,11,0,61.13128786972216,0.46,0.10818181818181817,0.1421139107771074,1.0,0.18181818181818182,0.4045199174779452,0.28419999999999995,-0.08650000000000001,0.1494722783662576,0.9300000000000002,0.0036363636363636247,0.4530843790569859
deterministic,reg_fixed_baseline,reg_fixed,warm,1,1,0,54.561060783977155,0.53,0.53,0.0,1.0,1.0,0.0,0.3685999999999999,0.3685999999999999,0.0,0.9300000000000002,0.9300000000000002,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,8,8,0,59.461737969264504,0.55,0.39499999999999996,0.19056307542198647,1.0,0.25,0.4629100498862757,0.38999999999999985,0.22289999999999993,0.2047731427702373,0.9300000000000002,0.08250000000000005,0.5230883563714918
deterministic,reg_fixed_lambda,reg_fixed,warm,19,19,0,60.877389082887305,0.96,0.14947368421052634,0.28609387900187444,1.0,0.15789473684210525,0.37463432463267754,0.8495999999999999,-0.0383421052631579,0.3123015019634951,0.9300000000000002,-0.021578947368421027,0.4233367868349257
deterministic,reg_fixed_start_zero,reg_fixed,zero,1,1,0,62.64636306097964,0.36,0.36,0.0,0.0,0.0,0.0,0.1826,0.1826,0.0,-0.2,-0.2,0.0
deterministic,zero_start_inner_steps,reg_fixed,zero,8,8,0,55.90870855838148,0.65,0.4025,0.26423744732991306,1.0,0.5,0.5345224838248488,0.5040999999999999,0.23273749999999993,0.28499877662644696,0.9300000000000002,0.3650000000000001,0.6040104067220793
deterministic,zero_start_lambda,reg_fixed,zero,19,19,0,60.186062597893304,0.97,0.17473684210526316,0.29151650269758184,1.0,0.15789473684210525,0.37463432463267754,0.8639,-0.010715789473684229,0.31999304204789253,0.9300000000000002,-0.021578947368421027,0.4233367868349257
stochastic,projection_dtheta,projection,warm,11,11,0,60.11594700782073,0.64,0.16363636363636364,0.21500105707985379,0.94,0.2118181818181818,0.36005050150827955,-0.9437500000000005,-1.8341318181818187,0.4095492322497548,0.049300000000000094,-1.7036727272727281,0.8692443547023005
stochastic,reg_fixed_baseline,reg_fixed,warm,1,1,0,62.07024979800917,0.01,0.01,0.0,0.0,0.0,0.0,-1.997,-1.997,0.0,-2.0009,-2.0009,0.0
stochastic,reg_fixed_inner_steps,reg_fixed,warm,8,8,0,56.1599584009964,0.01,0.005,0.005345224838248488,0.0,0.0,0.0,-1.9889000000000003,-2.0032000000000005,0.010616563877800909,-1.9966500000000007,-2.00114375,0.002841583751059362
stochastic,reg_fixed_lambda,reg_fixed,warm,19,19,0,60.84950164614833,0.53,0.16578947368421051,0.21414729586778672,0.94,0.2736842105263158,0.4130269096199126,-1.0557500000000004,-1.781976315789474,0.3916342995024614,0.049300000000000094,-1.4415131578947373,0.9224405197388831
stochastic,reg_fixed_start_zero,reg_fixed,zero,1,1,0,59.625961096957326,0.0,0.0,0.0,0.0,0.0,0.0,-2.0229000000000004,-2.0229000000000004,0.0,-2.0097000000000005,-2.0097000000000005,0.0
stochastic,zero_start_inner_steps,reg_fixed,zero,8,8,0,22.61067353375256,0.05,0.0225,0.021213203435596427,0.05,0.02125,0.021671244937540097,-2.0024500000000005,-2.0648437500000005,0.048982558393633684,-1.9943,-2.0407062500000004,0.057174503792587435
stochastic,zero_start_lambda,reg_fixed,zero,19,19,0,58.78196873100732,0.09,0.02631578947368421,0.02812877654956643,0.08,0.009473684210526316,0.020405251015506966,-1.9780000000000006,-2.032073684210527,0.038318078009461624,-1.7253000000000003,-2.0214342105263166,0.07621880792354704
