alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,num_trajectories,max_steps,seed,nn_seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,1e-05,0.1,1000,0.03,3,0.0001,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,14.25364094201359,0.48,-0.6673625577353018,0.04624569964585624,2.2203187270479114,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-96.32175755666046,-25.25499791970772,-22.661727028282687,-96.34894481033112,271.2763249978071,80.6986410202556,67.59476855569193,6.309393510792596,2550
0.001,3e-05,0.05,1000,0.01,3,0.001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,14.000547347997781,0.45,-0.7042451799625621,-0.4776468008354712,2.480018373615787,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-11.339495279518875,30.27590670480236,-2.443191356991524,-11.399373831651445,56.86155955950621,30.09762019572732,16.420966201463965,0.710558330509249,4193
0.001,1e-05,0.05,1000,0.003,2,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,13.20487247701385,0.45,-0.708600797527454,-0.867116803529375,3.239703094211296,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-4.13892715602956,-3.9568768453734426,1.044831605587524,-4.17565704564735,26.498809748775376,0.7401608078629122,3.1678111725645888,0.3183778649030381,1443
0.001,1e-05,0.1,1000,0.003,2,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,12.975757688982412,0.45,-0.7089324881412584,-0.8949007732920409,3.269250908915807,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-4.141522080175161,-3.9523309515831198,1.041669444440748,-4.178086037119506,26.509012739054068,0.7567558538350482,3.1497103749150113,0.3141889645560808,2307
0.001,3e-05,0.01,600,0.01,2,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,8.147335607995046,0.37,-0.7479173119862206,-0.7727474879690995,2.837067620168436,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-4.3964159007586225,13.302772359973947,3.572677888360092,-4.416560575320711,35.467299966846696,3.774348094226108,21.47386106766507,1.4809847508211855,2990
0.001,1e-05,0.1,600,0.01,3,0.001,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,9.407103749981616,0.33,-0.7603301130108061,-0.6260515593119135,2.654870390864924,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-20.510997434624223,-15.376559301454913,8.798165844771829,-20.53876495564147,88.8516966804588,3.866985687411841,20.251810817187046,1.796895526650545,2185
0.001,1e-05,0.01,600,0.03,2,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,8.671300070011057,0.31,-0.7832394863293558,-0.8581212077125783,2.9112164000503653,0.88,-0.2726126043327173,2.7725023973458076,0.18332008608867784,-51.05767995739646,-38.85607759274026,-22.916534709572744,-51.01370603581013,100.23565687511424,50.66037492626391,75.92678595203982,6.362678721750913,496
0.001,3e-05,0.01,300,0.03,2,0.001,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,5.407348073989851,0.26,-0.798934847795019,-0.9603410914566345,3.181240866557447,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-6.132158450007369,-77.18324288349889,11.230531968353462,-6.238037293730272,63.88372136791704,18.73747134469263,19.26966627772443,0.6711058783529675,2812
0.001,1e-05,0.1,300,0.03,2,0.001,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,5.08365095598856,0.14,-0.8496302166562708,-1.2278913136695027,3.5046410279192104,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-21.365120013954307,-51.583851746264344,6.864031700005429,-21.407003030267447,79.23793513445773,13.185271421988082,28.082388745011475,0.4619107388759871,1946
0.001,3e-05,0.1,600,0.003,3,0.001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,9.860003249981673,0.12,-0.8565570593159019,-1.3136630823131135,3.681463551971653,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-2.1131967195379144,-22.051294202171725,2.6286340309210403,-2.2884434023881433,19.126188030889317,1.850021062334521,8.828988500780826,0.7392775257489645,4676
0.001,3e-05,0.01,600,0.003,3,0.001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,10.032781708985567,0.12,-0.8565570593159019,-1.3158646185051575,3.6867367762655974,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-2.1155860572472505,-22.056809855069528,2.6257672240389085,-2.2907914429031138,19.121514561846954,1.821529573275677,8.818811891608188,0.7345904242042857,2948
0.001,3e-05,0.1,300,0.03,2,0.001,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,5.475560005987063,0.12,-0.8573088331530233,-1.1770147326232765,3.45718505799993,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-17.92024668488993,-53.43344910664713,-0.3065619117501127,-18.01586440285665,58.958505233929024,27.923229439116017,13.279393476843834,1.4811895190393658,4539
0.001,1e-05,0.01,300,0.03,3,0.01,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,6.019593000994064,0.11,-0.8703927849015805,-1.279272327087531,3.621492269840054,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-7.013700893988088,-9.229313939807543,0.6418888127550799,-7.028476694368851,28.548665951397343,0.5734645831471072,3.621447582749307,0.01275404837068761,275
0.001,3e-05,0.01,600,0.03,3,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,9.486644260003231,0.07,-0.8850137136548907,-1.1653976768577041,3.5641083724091054,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-31.55885889521316,-139.52019468631957,1.1049765296809295,-31.56714917453091,169.6824873373845,8.599266072131405,5.271429413585087,0.22600589457906967,3134
0.001,3e-05,0.05,300,0.03,3,0.0001,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,6.007429304008838,0.05,-0.8791372831867622,-1.2547552193675264,3.7300686641538743,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-19.16195607699866,-67.70524563358475,3.8877412957679574,-19.187539657455034,88.33610573044291,9.589869807180435,12.195829655555684,1.8401133654095974,3703
0.001,1e-05,0.01,600,0.003,2,0.01,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,8.975515208003344,0.03,-0.8930978618585883,-1.4420305468342876,4.071707308431948,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-2.6687401017736705,-3.483386345025573,0.2829698319616893,-2.7307709380063048,13.806240753204559,1.0100054626554347,1.8920754200587724,0.1736844473638328,323
0.001,1e-05,0.01,1000,0.01,3,0.01,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,15.033200086007128,0.64,-0.6069147692261363,0.06071854947432479,1.9154812298616228,0.87,-0.276291473607931,2.7700166601982326,0.26224225328901596,-6.892798081908142,1.0131362852383035,-1.5407670482023248,-6.922581829813393,24.07713739321972,23.916407331587273,21.87326090915941,1.6353311843891496,763
0.001,1e-05,0.01,1000,0.003,3,0.0001,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,14.517395959002897,0.57,-0.645668617640908,-0.36224781552726476,2.412641692734744,0.87,-0.276291473607931,2.7700166601982326,0.2622422532890169,-5.935897316819549,-4.082320097270152,3.448928500821323,-6.107614394926593,34.764290711105865,5.1444133532210214,7.766524358093513,1.5471146614754907,634
0.001,3e-05,0.1,600,0.03,3,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,9.69893885901547,0.39,-0.7505992998483468,-0.6257849236014863,2.657555364705822,0.87,-0.26434107909843607,2.7563718908088375,0.1908925553387935,-20.16924571989807,-163.09406631290625,19.883509889224836,-20.280786991930626,171.9405004166734,5.597295196963792,22.562996172267543,0.4781513978716954,4852
0.001,1e-05,0.1,600,0.03,2,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,8.628160471009323,0.37,-0.7516484794005269,-0.7136832151411682,2.709955691789987,0.87,-0.26434107909843607,2.7563718908088375,0.1908925553387935,-7.591278899512897,10.92874984195796,22.425276301846175,-7.4879484411109125,106.47051031709047,20.50981980655875,47.521925777880675,2.7925633068802553,2224
0.001,1e-05,0.1,600,0.003,3,0.01,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,9.236377815977903,0.25,-0.8042238824438024,-1.449374905493682,3.8812148954383607,0.87,-0.2763676670783002,2.7697139015312735,0.2718548425199502,-3.659010410060936,-4.104292228041477,0.8886974395421291,-3.709425470678563,18.94034719522735,0.41886640560818017,2.7516201580659034,0.15530188744804385,2101
