alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
3e-05,1e-08,0.02,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.9997238559881,187.12,0.24,-187.12,200.0,0.0,-200.0,-360.46564815463637,-341.85784674130116,-20.33192740361694,-360.4580223241921,928.7203791165958,77.02318163864497,379.31650325040806,0.773748495588986,44
3e-05,1e-08,0.005,20000,0.0003,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,934.5029871310107,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86476050223575,-47.27644784516101,-7.708436181681873,-109.8050652502671,389.239986420105,7.54431730254552e-05,111.13444447321605,0.4431843062291281,10
3e-05,1e-08,0.005,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,934.7175910719961,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.8647794824298,-47.27569607816787,-7.708455161284062,-109.80508341107834,414.9821203022173,7.542116644578059e-05,111.13726770945108,0.4431844016631402,9
3e-05,1e-08,0.1,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,935.1017621229985,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86445931671767,-47.277437445673876,-7.708134995595763,-109.80476513905334,412.750030875099,7.539392572725738e-05,111.1353223975648,0.4431831166438831,58
3e-05,1e-08,0.5,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,935.1495020530128,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86318346884786,-47.28233655082979,-7.706859147632361,-109.80349461270106,414.47587320698557,7.540814836938513e-05,111.13155469242507,0.44317798837758837,81
3e-05,1e-08,0.005,20000,0.001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,935.251089530997,200.0,0.0,-200.0,200.0,0.0,-200.0,-355.49899729191515,-312.79034562776224,-15.346918375179726,-355.4982882383928,942.2458925023758,3.2477866926539707,313.3765541802534,0.5411904046831235,17
3e-05,1e-08,0.005,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,935.4985802859883,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.0466033489908,-13.590733934900442,-2.890340733148855,-36.979686180196566,198.5496442287158,2.9944558668350476e-05,38.98442829262778,0.4463962574992369,1
3e-05,1e-08,0.5,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,935.7683527779882,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86320486993152,-47.28173123030989,-7.70688054936578,-109.80351535400592,413.87441551302464,7.52194042086488e-05,111.15264097989056,0.44317807209541915,82
3e-05,1e-08,0.005,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,935.899963562988,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86476237584667,-47.27644526267224,-7.7084380555125565,-109.80506712083616,303.7675236292177,7.574498201877115e-05,111.12802963543353,0.4431840904520573,12
3e-05,1e-08,0.1,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,936.080333291,200.0,0.0,-200.0,200.0,0.0,-200.0,-357.9848778987629,-325.0596222725384,-17.859102079581476,-357.9823403510104,953.9785936518989,11.527995184035733,363.6906935335895,1.274465310074118,65
3e-05,1e-08,0.02,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,936.6241900129826,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04658525401847,-13.590794438359413,-2.8903226381818636,-36.979668281757625,199.16768222964825,2.9944819374781942e-05,38.9842873254606,0.4463960420577684,25
3e-05,1e-08,0.02,20000,0.0001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,936.9877812410123,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.046585055815726,-13.590808076439892,-2.890322439991886,-36.979668128005,192.23194933726708,2.9941553990931674e-05,38.984292473610374,0.44639603201686484,27
3e-05,1e-08,0.005,20000,0.0001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.0101289220038,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04660098356049,-13.590864980396425,-2.8903383678408123,-36.979684241896095,149.31178108115077,2.9893388318057644e-05,38.98476062217033,0.44639615224041485,2
3e-05,1e-08,0.005,20000,0.0001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,937.1930373430077,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04658832524799,-13.591146052734032,-2.890325710643438,-36.979672499770686,116.1757565208233,2.9736921174741678e-05,38.98557312668043,0.4463952651816573,3
3e-05,1e-08,0.5,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.257377055008,200.0,0.0,-200.0,200.0,0.0,-200.0,-353.99682221640177,-298.30935350555416,-13.84128812100658,-353.9864698065752,947.9206873983568,6.717509070727004,412.2596349517242,0.4865377279340118,90
3e-05,1e-08,0.005,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.3143070149818,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86477740744724,-47.27583345914982,-7.70845308667475,-109.80508148585957,418.5494090442661,7.527578504357653e-05,111.15367456709261,0.4431843990627862,11
