state,action,reward,next_state,policy_id
164,0,-0.01,144,0
144,3,-0.01,144,0
144,1,-0.01,164,0
164,3,-0.01,165,0
165,3,-0.01,166,0
166,2,-0.01,165,0
165,3,-0.01,166,0
166,1,-0.01,166,0
166,3,-0.01,167,0
167,1,-0.01,167,0
167,3,-0.01,168,0
168,3,-0.01,169,0
169,3,-0.01,170,0
170,1,-0.01,190,0
190,1,-0.01,210,0
210,0,-0.01,190,0
190,2,-0.01,190,0
190,1,-0.01,210,0
210,1,-0.01,230,0
230,1,-0.01,250,0
250,3,-0.01,251,0
251,3,-0.01,252,0
252,3,-0.01,253,0
253,3,-0.01,254,0
254,0,-0.01,254,0
254,0,-0.01,254,0
254,2,-0.01,253,0
253,3,-0.01,254,0
254,2,-0.01,253,0
253,3,-0.01,254,0
254,3,-0.01,255,0
255,1,-0.01,275,0
275,2,-0.01,275,0
275,1,-0.01,295,0
295,1,-0.01,315,0
315,1,-0.01,335,0
335,3,-0.01,336,0
336,3,-0.01,337,0
337,3,-0.01,338,0
338,1,-0.01,358,0
358,3,-0.01,358,0
358,1,-0.01,378,0
378,2,-0.01,378,0
378,1,-0.01,398,0
398,3,-0.01,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,3,10.0,399,0
399,1,10.0,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
358,1,-0.01,378,0
378,1,-0.01,398,0
398,0,-0.01,378,0
378,1,-0.01,398,0
398,3,-0.01,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,3,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,1,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,3,10.0,399,0
399,0,10.0,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,1,10.0,399,0
399,0,10.0,399,0
399,1,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
254,0,-0.01,254,0
254,3,-0.01,255,0
255,0,-0.01,255,0
255,2,-0.01,254,0
254,3,-0.01,255,0
255,1,-0.01,275,0
275,1,-0.01,295,0
295,0,-0.01,275,0
275,3,-0.01,275,0
275,1,-0.01,295,0
295,3,-0.01,295,0
295,1,-0.01,315,0
315,1,-0.01,335,0
335,3,-0.01,336,0
336,1,-0.01,336,0
336,3,-0.01,337,0
337,3,-0.01,338,0
338,1,-0.01,358,0
358,2,-0.01,358,0
358,1,-0.01,378,0
378,1,-0.01,398,0
398,0,-0.01,378,0
378,1,-0.01,398,0
398,3,-0.01,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,1,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,3,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,1,10.0,399,0
399,0,10.0,399,0
210,1,-0.01,230,0
230,3,-0.01,230,0
230,1,-0.01,250,0
250,2,-0.01,250,0
250,3,-0.01,251,0
251,3,-0.01,252,0
252,3,-0.01,253,0
253,3,-0.01,254,0
254,3,-0.01,255,0
255,3,-0.01,255,0
255,1,-0.01,275,0
275,1,-0.01,295,0
295,0,-0.01,275,0
275,1,-0.01,295,0
295,1,-0.01,315,0
315,1,-0.01,335,0
335,3,-0.01,336,0
336,1,-0.01,336,0
336,1,-0.01,336,0
336,3,-0.01,337,0
337,3,-0.01,338,0
338,0,-0.01,338,0
338,1,-0.01,358,0
358,1,-0.01,378,0
378,1,-0.01,398,0
398,3,-0.01,399,0
399,0,10.0,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,3,10.0,399,0
399,0,10.0,399,0
399,2,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,1,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
399,0,10.0,399,0
81,3,-0.01,82,0
82,3,-0.01,83,0
83,3,-0.01,84,0
84,1,-0.01,104,0
104,1,-0.01,124,0
124,1,-0.01,144,0
144,1,-0.01,164,0
164,3,-0.01,165,0
165,3,-0.01,166,0
166,3,-0.01,167,0
167,3,-0.01,168,0
168,3,-0.01,169,0
169,3,-0.01,170,0
170,1,-0.01,190,0
190,1,-0.01,210,0
210,1,-0.01,230,0
230,1,-0.01,250,0
250,0,-0.01,230,0
230,1,-0.01,250,0
250,3,-0.01,251,0
251,1,-0.01,251,0
251,3,-0.01,252,0
252,0,-0.01,252,0
252,3,-0.01,253,0
253,3,-0.01,254,0
254,3,-0.01,255,0
255,1,-0.01,275,0
275,1,-0.01,295,0
295,1,-0.01,315,0
315,1,-0.01,335,0
335,1,-0.01,335,0
335,3,-0.01,336,0
336,3,-0.01,337,0
337,3,-0.01,338,0
338,1,-0.01,358,0
358,1,-0.01,378,0
378,1,-0.01,398,0
398,3,-0.01,399,0
399,0,10.0,399,0
