state,action,reward,next_state
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
612,0,1.0,612
612,1,1.0,612
612,0,1.0,612
612,0,1.0,612
612,1,1.0,612
612,1,1.0,612
