Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
4000,0.1,100% Eps-Greedy,100/0,0.0,64.91941111419592,0,-0.1,1.169907831794131,1.0724155124779533
8000,0.1,100% Eps-Greedy,100/0,0.0,64.93346118197017,0,-0.1,1.169907831794131,1.0724155124779533
12000,0.1,100% Eps-Greedy,100/0,0.0,64.92416291571747,0,-0.1,1.169907831794131,1.0724155124779533
16000,0.1,100% Eps-Greedy,100/0,0.0,64.93748963374408,0,-0.1,1.169907831794131,1.0724155124779533
20000,0.1,100% Eps-Greedy,100/0,0.0,64.93758264945164,0,-0.1,1.169907831794131,1.0724155124779533
4000,0.3,100% Eps-Greedy,100/0,0.0,65.08775920539196,0,-0.1,1.169907831794131,1.0724155124779533
8000,0.3,100% Eps-Greedy,100/0,0.0,65.0782324683767,0,-0.1,2.9092217676157746,2.8117294482995967
12000,0.3,100% Eps-Greedy,100/0,0.0,65.062779722519,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.3,100% Eps-Greedy,100/0,0.0,65.0843525920827,0,-0.1,0.3899692772647103,0.2924769579485327
20000,0.3,100% Eps-Greedy,100/0,0.0,65.08167295558978,0,-0.1,0.3899692772647103,0.2924769579485327
4000,0.5,100% Eps-Greedy,100/0,0.0,65.27554917850819,0,-0.1,0.48746159658088783,0.3899692772647103
8000,0.5,100% Eps-Greedy,100/0,0.0,65.28353169494129,0,-0.1,0.48746159658088783,0.3899692772647103
12000,0.5,100% Eps-Greedy,100/0,0.0,65.2633152111125,0,-0.1,0.48746159658088783,0.3899692772647103
16000,0.5,100% Eps-Greedy,100/0,0.0,65.25875403956013,0,-3.3148900000000006,8.318209506264711,5.005827186948533
20000,0.5,100% Eps-Greedy,100/0,0.0,65.25200526981222,0,-0.1,0.48746159658088783,0.3899692772647103
4000,0.7,100% Eps-Greedy,100/0,0.0,66.20273650356866,0,-0.1,3.207497305502242,3.1100049861860644
8000,0.7,100% Eps-Greedy,100/0,0.0,66.80213727558902,0,-0.36040608999999996,3.7861008522196835,3.428202442903506
12000,0.7,100% Eps-Greedy,100/0,0.0,66.2678495690632,0,-0.1,0.5849539158970654,0.48746159658088783
16000,0.7,100% Eps-Greedy,100/0,0.0,66.29241820259749,0,-0.36040608999999996,1.1296490551298877,0.7717506458137101
20000,0.7,100% Eps-Greedy,100/0,0.0,66.178252091192,0,-0.36040608999999996,1.1296490551298877,0.7717506458137101
4000,0.9,100% Eps-Greedy,100/0,0.0,89.44412652509348,0,-0.1,9.13950181470156,9.042009495385383
8000,0.9,100% Eps-Greedy,100/0,0.0,91.49145070807018,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.9,100% Eps-Greedy,100/0,0.0,81.78775687837906,0,-0.1,3.2172465374338604,3.1197542181176825
