feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,dataset_rows,status,error
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.0,10000,187.6,3,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.0,20000,188.2,3,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.0,30000,187.6,3,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.0,40000,180.3,4,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.0,50000,176.7,5,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.2,10000,165.5,8,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.2,20000,160.7,8,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.2,30000,160.7,8,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.2,40000,168.9,6,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.2,50000,149.4,9,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.4,10000,164.1,6,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.4,20000,151.0,9,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.4,30000,147.5,10,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.4,40000,150.7,10,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.4,50000,154.5,9,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.6,10000,170.3,9,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
