state,action,reward,next_state
144,3,-0.0199,124
124,9,-0.0199,144
144,5,-0.0199,164
164,7,-0.0199,164
164,7,-0.0199,165
165,15,-0.0199,166
166,1,-0.0199,166
166,15,-0.0199,167
167,8,-0.0199,166
166,7,-0.0199,167
167,15,-0.0199,168
168,15,-0.0199,169
169,12,-0.0199,169
169,11,-0.0199,169
169,11,-0.0199,169
169,9,-0.0199,169
169,15,-0.0199,170
170,5,-0.0199,190
190,5,-0.0199,210
210,5,-0.0199,230
230,6,-0.0199,250
250,4,-0.0199,250
250,7,-0.0199,250
250,15,-0.0199,251
251,15,-0.0199,252
252,15,-0.0199,253
253,13,-0.0199,254
254,9,-0.0199,253
253,15,-0.0199,254
254,13,-0.0199,275
275,5,-0.0199,295
295,5,-0.0199,315
315,5,-0.0199,335
335,1,-0.0199,335
335,7,-0.0199,335
335,15,-0.0199,336
336,15,-0.0199,337
337,11,-0.0199,337
337,13,-0.0199,358
358,5,-0.0199,378
378,13,-0.0199,378
378,6,-0.0199,398
398,5,-0.0199,398
398,13,-0.0199,398
398,12,-0.0199,399
399,7,-0.0199,399
378,2,-0.0199,358
358,7,-0.0199,378
378,3,-0.0199,358
358,5,-0.0199,378
378,13,-0.0199,398
398,6,-0.0199,398
398,15,-0.0199,399
399,12,9.89,399
252,15,-0.0199,253
253,15,-0.0199,254
254,15,-0.0199,255
255,6,-0.0199,275
275,5,-0.0199,295
295,4,-0.0199,295
295,5,-0.0199,315
315,5,-0.0199,335
335,7,-0.0199,335
335,15,-0.0199,336
336,15,-0.0199,337
337,13,-0.0199,358
358,5,-0.0199,378
378,13,-0.0199,378
378,5,-0.0199,398
398,11,-0.0199,398
398,15,-0.0199,399
190,1,-0.0199,190
190,5,-0.0199,210
210,5,-0.0199,230
230,5,-0.0199,250
250,13,-0.0199,250
250,15,-0.0199,251
251,2,-0.0199,251
251,7,-0.0199,251
251,1,-0.0199,251
251,15,-0.0199,252
252,15,-0.0199,253
253,10,-0.0199,252
252,15,-0.0199,253
253,14,-0.0199,253
253,15,-0.0199,254
254,13,-0.0199,275
275,5,-0.0199,295
295,13,-0.0199,295
295,5,-0.0199,315
315,5,-0.0199,335
335,13,-0.0199,336
336,15,-0.0199,337
337,15,-0.0199,338
338,5,-0.0199,358
358,4,-0.0199,358
358,5,-0.0199,378
378,5,-0.0199,398
398,15,-0.0199,399
399,7,-0.0199,399
80,7,-0.0199,80
80,15,-0.0199,81
81,1,-0.0199,81
81,15,-0.0199,82
82,15,-0.0199,83
83,13,-0.0199,104
104,4,-0.0199,104
104,5,-0.0199,124
124,5,-0.0199,144
144,5,-0.0199,164
164,7,-0.0199,164
164,11,-0.0199,164
164,15,-0.0199,165
165,15,-0.0199,166
166,7,-0.0199,167
167,15,-0.0199,168
168,13,-0.0199,168
168,15,-0.0199,169
169,13,-0.0199,190
190,4,-0.0199,190
190,5,-0.0199,210
210,6,-0.0199,210
210,11,-0.0199,210
210,5,-0.0199,230
230,1,-0.0199,230
230,13,-0.0199,250
250,9,-0.0199,250
250,14,-0.0199,250
250,15,-0.0199,251
251,1,-0.0199,251
251,15,-0.0199,252
252,15,-0.0199,253
253,15,-0.0199,254
254,15,-0.0199,255
255,15,-0.0199,255
255,5,-0.0199,275
275,7,-0.0199,295
295,13,-0.0199,295
295,7,-0.0199,315
315,5,-0.0199,335
335,1,-0.0199,335
335,7,-0.0199,336
336,15,-0.0199,337
337,15,-0.0199,338
338,5,-0.0199,358
358,6,-0.0199,378
378,9,-0.0199,378
378,5,-0.0199,398
398,15,-0.0199,399
399,12,9.89,399
80,13,-0.0199,80
80,15,-0.0199,81
81,15,-0.0199,82
82,3,-0.0199,83
83,7,-0.0199,83
83,13,-0.0199,104
104,3,-0.0199,84
84,15,-0.0199,84
84,6,-0.0199,104
104,5,-0.0199,124
124,6,-0.0199,124
124,5,-0.0199,144
144,13,-0.0199,164
164,7,-0.0199,165
165,14,-0.0199,165
165,15,-0.0199,166
166,15,-0.0199,167
167,15,-0.0199,168
168,15,-0.0199,169
169,15,-0.0199,170
170,5,-0.0199,190
190,5,-0.0199,210
210,5,-0.0199,230
230,5,-0.0199,250
250,15,-0.0199,251
251,11,-0.0199,251
251,14,-0.0199,251
251,1,-0.0199,251
251,15,-0.0199,252
252,15,-0.0199,253
253,1,-0.0199,253
253,15,-0.0199,254
254,15,-0.0199,255
255,0,-0.0199,255
255,6,-0.0199,254
254,14,-0.0199,254
254,7,-0.0199,255
255,7,-0.0199,275
275,8,-0.0199,255
255,14,-0.0199,255
255,11,-0.0199,255
255,5,-0.0199,275
275,5,-0.0199,295
295,6,-0.0199,315
315,9,-0.0199,315
315,4,-0.0199,315
315,6,-0.0199,335
335,7,-0.0199,335
335,15,-0.0199,336
336,15,-0.0199,337
337,13,-0.0199,358
358,7,-0.0199,358
358,5,-0.0199,378
378,8,-0.0199,378
378,5,-0.0199,398
398,7,-0.0199,398
398,15,-0.0199,399
20,5,-0.0199,40
40,5,-0.0199,60
60,4,-0.0199,60
60,5,-0.0199,80
