Reset Config,Extra Steps,Dataset Size,Coverage Ratio,Log Coverage,Task Success,Converged
80/20,0,10000,3.370408081415947,0.527682487452207,-2.9934010000000004,False
80/20,0,15000,3.4102463685871873,0.5327857551370514,-2.9934010000000004,False
80/20,0,20000,3.4182271972345095,0.533800925332068,-2.9934010000000004,False
80/20,0,25000,3.416591308067712,0.5335930316912461,-2.9934010000000004,False
80/20,0,30000,3.4240759894533426,0.534543394274411,-2.9934010000000004,False
80/20,1,10000,3.42979493657369,0.5352681548600393,-0.012256912615440175,True
80/20,1,15000,3.465333785432595,0.5397450727688552,-0.012256912615440175,True
80/20,1,20000,3.436433569174125,0.5361079528369705,-0.012256912615440175,True
80/20,1,25000,3.441069980406562,0.536693504877649,-0.012256912615440175,True
80/20,1,30000,3.43326900898962,0.5357078332954452,-0.012256912615440175,True
80/20,3,10000,3.4717268751925743,0.5405455513942968,-0.01225691261544018,True
80/20,3,15000,3.513134495174424,0.5456947764342119,-0.012256912615440175,True
80/20,3,20000,3.530419740798531,0.5478263428596837,-0.01225691261544018,True
80/20,3,25000,3.528731923107002,0.5476186663685818,-0.01225691261544018,True
80/20,3,30000,3.4954468061532817,0.5435026974048401,-0.01225691261544018,True
80/20,5,10000,3.419306412804438,0.5339380207812247,-0.012256912615440175,True
80/20,5,15000,3.536773460844592,0.5486072430615838,-0.012256912615440175,True
80/20,5,20000,3.5406545376822116,0.54908355463232,-0.012256912615440175,True
80/20,5,25000,3.5368662372626285,0.5486186352975828,-0.012256912615440175,True
80/20,5,30000,3.4994422889028747,0.5439988357355052,-0.012256912615440175,True
60/40,0,10000,3.2452064818728172,0.5112423347527478,-2.9934010000000004,False
60/40,0,15000,3.2982723064954107,0.5182865082904181,-2.9934010000000004,False
60/40,0,20000,3.279676952241337,0.515831067867651,-2.9934010000000004,False
60/40,0,25000,3.2582969950446277,0.5129906678885177,-2.9934010000000004,False
60/40,0,30000,3.250944991430152,0.5120096209509223,-2.9934010000000004,False
60/40,1,10000,3.1929464167567563,0.5041916303771757,-0.012256912615440175,True
60/40,1,15000,3.2182639659945718,0.5076216625949899,-0.012256912615440175,True
60/40,1,20000,3.252893593096965,0.5122698571070469,-0.012256912615440175,True
60/40,1,25000,3.2471026873248494,0.5114960230988592,-0.012256912615440175,True
60/40,1,30000,3.2461388417124954,0.5113670912450063,-0.012256912615440175,True
60/40,3,10000,3.18173473215924,0.5026639687858145,-0.01225691261544018,True
60/40,3,15000,3.187247347929039,0.5034157684226881,-0.012256912615440175,True
60/40,3,20000,3.2247478029693415,0.5084957555413451,-0.012256912615440175,True
60/40,3,25000,3.263954540153433,0.5137441013385637,-0.012256912615440175,True
60/40,3,30000,3.2477362486534487,0.5115807525871631,-0.012256912615440175,True
60/40,5,10000,3.163258519458217,0.500134686378646,-0.012256912615440175,True
60/40,5,15000,3.2081073560407987,0.5062488930772114,-0.012256912615440175,True
60/40,5,20000,3.263987662675395,0.5137485085248004,-0.012256912615440175,True
