Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
4000,0.1,100% Eps-Greedy,100/0,0,64.94553200775599,1.8125492787174078,0,-0.1,6.242474760784853,6.154731673400294
8000,0.1,100% Eps-Greedy,100/0,0,64.95107052574306,1.812586313524389,0,-0.1,5.759937018714885,5.672193931330324
12000,0.1,100% Eps-Greedy,100/0,0,64.95709171236713,1.812626572243813,0,-0.1,5.964807055131999,5.877063967747438
16000,0.1,100% Eps-Greedy,100/0,0,64.96087674135141,1.8126518777072795,0,-0.1,5.877063967747439,5.789320880362879
20000,0.1,100% Eps-Greedy,100/0,0,64.96436790375876,1.8126752171679585,0,-0.1,6.154731673400294,6.066988586015734
4000,0.3,100% Eps-Greedy,100/0,0,65.14179972772386,1.8138597530164222,0,-0.1,8.703256519817408,8.615513432432849
8000,0.3,100% Eps-Greedy,100/0,0,65.13501532683807,1.8138145196743398,0,-0.1,15.029167779795607,14.941424692411045
12000,0.3,100% Eps-Greedy,100/0,0,65.19034741241582,1.8141832954886161,0,-0.1,24.848510158072358,24.760767070687795
16000,0.3,100% Eps-Greedy,100/0,0,65.15925055336585,1.813976080510482,0,-0.1,24.848510158072358,24.760767070687795
20000,0.3,100% Eps-Greedy,100/0,0,65.1602671749124,1.813982856366249,0,-0.1,24.848510158072358,24.760767070687795
4000,0.5,100% Eps-Greedy,100/0,0,65.43323037263244,1.8157983615084727,0,-0.1,18.8763883312102,18.788645243825634
8000,0.5,100% Eps-Greedy,100/0,0,65.4200752968507,1.815711039651206,0,-0.1,24.848510158072358,24.760767070687795
12000,0.5,100% Eps-Greedy,100/0,0,65.36535443642354,1.8153476204360266,0,-0.1,27.192164968072355,27.104421880687795
16000,0.5,100% Eps-Greedy,100/0,0,65.43205486578285,1.8157905593455492,0,-0.1,24.848510158072358,24.760767070687795
20000,0.5,100% Eps-Greedy,100/0,0,65.39977154762319,1.8155762312634123,0,-0.1,24.848510158072358,24.760767070687795
4000,0.7,100% Eps-Greedy,100/0,0,66.70475904805598,1.824156819742324,0,-0.1,27.94068449559699,27.852941408212427
8000,0.7,100% Eps-Greedy,100/0,0,66.42371511651046,1.822323162281315,0,-0.1,26.9767955717648,26.88905248438024
12000,0.7,100% Eps-Greedy,100/0,0,67.2934779111336,1.8279729744102453,0,-0.1,25.30280661470725,25.215063527322688
16000,0.7,100% Eps-Greedy,100/0,0,66.48190746806858,1.8227034715307537,0,-2.9934010000000004,32.604706952841475,29.623562865456915
20000,0.7,100% Eps-Greedy,100/0,0,66.43943098781153,1.8224259043345676,0,-0.1,26.176199927853894,26.088456840469334
4000,0.9,100% Eps-Greedy,100/0,0,78.51228890208486,1.8949376387154833,0,-2.9934010000000004,26.381112743576494,23.39996865619193
8000,0.9,100% Eps-Greedy,100/0,0,94.86219896211927,1.977093187636594,0,-2.9934010000000004,29.067912139286317,26.086768051901757
12000,0.9,100% Eps-Greedy,100/0,0,88.13938546732268,1.9451700181607265,0,-2.9934010000000004,29.067912139286317,26.086768051901757
16000,0.9,100% Eps-Greedy,100/0,0,80.39759852213027,1.9052430765573625,0,-2.9934010000000004,28.39884583810405,25.417701750719495
20000,0.9,100% Eps-Greedy,100/0,0,78.83365498925438,1.8967116623597484,0,-2.9934010000000004,29.216027741387713,26.234883654003156
4000,0.1,80% Eps-Greedy / 20% Random,100/0,0,65.24592991218616,1.8145534252546118,0,-2.9934010000000004,21.412411875104606,18.431267787720046
8000,0.1,80% Eps-Greedy / 20% Random,100/0,0,65.272449472974,1.8147299107293076,0,-2.9934010000000004,25.2035824383459,22.22243835096134
12000,0.1,80% Eps-Greedy / 20% Random,100/0,0,65.25610701213216,1.814621161490175,0,-2.9934010000000004,28.881383580174024,25.900239492789463
16000,0.1,80% Eps-Greedy / 20% Random,100/0,0,65.21199007070852,1.8143274537504688,0,-2.9934010000000004,31.466871042528332,28.485726955143775
20000,0.1,80% Eps-Greedy / 20% Random,100/0,0,65.2273324234575,1.814429617715163,0,-2.9934010000000004,24.981703736430788,22.00055964904623
4000,0.3,80% Eps-Greedy / 20% Random,100/0,0,65.32806765302126,1.8150998123296966,0,-2.9934010000000004,22.034029996856848,19.052885909472288
8000,0.3,80% Eps-Greedy / 20% Random,100/0,0,65.35469361271184,1.815276782993876,0,-2.9934010000000004,28.39884583810405,25.417701750719495
12000,0.3,80% Eps-Greedy / 20% Random,100/0,0,65.3263347364812,1.815088291920476,0,-2.9934010000000004,31.55582746492571,28.57468337754115
16000,0.3,80% Eps-Greedy / 20% Random,100/0,0,65.34994157447235,1.8152452036396602,0,-2.9934010000000004,32.429220778072356,29.448076690687795
20000,0.3,80% Eps-Greedy / 20% Random,100/0,0,65.37865308526746,1.81543596910973,0,-2.9934010000000004,32.516963865456916,29.535819778072355
4000,0.5,80% Eps-Greedy / 20% Random,100/0,0,65.58481141626842,1.8168032741034947,0,-2.9934010000000004,25.804252810991407,22.82310872360685
8000,0.5,80% Eps-Greedy / 20% Random,100/0,0,65.54940872370689,1.8165687785708853,0,-2.9934010000000004,30.45211933732269,27.470975249938128
12000,0.5,80% Eps-Greedy / 20% Random,100/0,0,65.57791842764068,1.816757627189449,0,-2.9934010000000004,32.516963865456916,29.535819778072355
16000,0.5,80% Eps-Greedy / 20% Random,100/0,0,65.60929013357382,1.8169653388891458,0,-2.9934010000000004,32.604706952841475,29.623562865456915
20000,0.5,80% Eps-Greedy / 20% Random,100/0,0,65.59454380430024,1.8168677159879454,0,-2.9934010000000004,32.429220778072356,29.448076690687795
4000,0.7,80% Eps-Greedy / 20% Random,100/0,0,66.54532193782472,1.823117530464358,0,-2.9934010000000004,31.02240016677722,28.04125607939266
8000,0.7,80% Eps-Greedy / 20% Random,100/0,0,67.86642978374586,1.8316550030738665,0,-2.9934010000000004,30.53986242470725,27.558718337322688
12000,0.7,80% Eps-Greedy / 20% Random,100/0,0,67.0709973769365,1.8265347645496761,0,-2.9934010000000004,31.73131363969483,28.75016955231027
16000,0.7,80% Eps-Greedy / 20% Random,100/0,0,67.39151654661961,1.8286052296380277,0,-2.9934010000000004,32.2138513817648,29.23270729438024
20000,0.7,80% Eps-Greedy / 20% Random,100/0,0,66.90070651563272,1.8254307042285176,0,-2.9934010000000004,31.73131363969483,28.75016955231027
4000,0.9,80% Eps-Greedy / 20% Random,100/0,0,74.01038263850579,1.8692926495460023,0,-0.1,18.612151597144045,18.524408509759485
