Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
4000,0.1,100% Eps-Greedy,100/0,0,70.44185309287148,1.8478307723012415,0,0.30991329219721825,5.249920702509955,4.952264322928176
8000,0.1,100% Eps-Greedy,100/0,0,69.09656936173324,1.8394564852286857,0,0.31567133234714767,5.296951564368236,4.993537144636528
12000,0.1,100% Eps-Greedy,100/0,0,69.44478144420017,1.8416396154423709,0,0.291696465340232,4.96795966619432,4.688520113469528
16000,0.1,100% Eps-Greedy,100/0,0,68.79702427830297,1.837569653824734,0,0.2866006122641436,4.878412203480356,4.604068503831652
20000,0.1,100% Eps-Greedy,100/0,0,69.21376096462726,1.8401924487466972,0,0.30009929420863485,5.053240099315718,4.765397717722523
4000,0.3,100% Eps-Greedy,100/0,0,68.0034179779769,1.832530741701375,0,0.2788871178829415,5.012266837016256,4.745636631748756
8000,0.3,100% Eps-Greedy,100/0,0,67.57469123029874,1.8297840699492491,0,0.31481838570439274,5.6463023659721525,5.343740892883199
12000,0.3,100% Eps-Greedy,100/0,0,66.87034138120568,1.8252335403315796,0,0.2976425109497705,5.47670176712544,5.19131616879111
16000,0.3,100% Eps-Greedy,100/0,0,67.11325796528365,1.8268083218441764,0,0.2944092133510702,5.262636128236468,4.980483827500839
20000,0.3,100% Eps-Greedy,100/0,0,66.8665076556619,1.825208641197777,0,0.2900169635850762,5.209478494481279,4.931718443511643
4000,0.5,100% Eps-Greedy,100/0,0,69.09419346098626,1.8394415516605804,0,0.288416179475007,5.42058942468562,5.1444301578260525
8000,0.5,100% Eps-Greedy,100/0,0,66.90430680224645,1.8254540753200967,0,0.26139100070685456,5.2196264779148525,4.970492389823438
12000,0.5,100% Eps-Greedy,100/0,0,66.81833173533037,1.8248956283331679,0,0.25871243200249633,5.091921419502882,4.845465900115826
16000,0.5,100% Eps-Greedy,100/0,0,67.26139645353435,1.82776587971618,0,0.2829776614950357,5.604710184612752,5.333989435733155
20000,0.5,100% Eps-Greedy,100/0,0,67.24189660466816,1.827639954519446,0,0.2646425546783342,5.3295327648207635,5.07714712275787
4000,0.7,100% Eps-Greedy,100/0,0,76.49256517980378,1.883619225241209,0,0.23090644255596393,5.325415499855703,5.1067659699151795
8000,0.7,100% Eps-Greedy,100/0,0,73.6156359348994,1.86697006812873,0,0.24323659692406938,5.532590339808346,5.301610655499717
12000,0.7,100% Eps-Greedy,100/0,0,70.7173570571741,1.849526021279142,0,0.2260392830551065,5.2504596740581455,5.036677303618479
16000,0.7,100% Eps-Greedy,100/0,0,72.21189315030935,1.858608730868605,0,0.23669424550118914,5.414271302892173,5.189833970006425
20000,0.7,100% Eps-Greedy,100/0,0,75.61452860857511,1.8786052490504306,0,0.2311108009023195,5.33343034866115,5.11457646037427
4000,0.9,100% Eps-Greedy,100/0,0,126.60606493571625,2.1024545106183417,0,0.23855096893529237,6.546490821973391,6.32019676565354
8000,0.9,100% Eps-Greedy,100/0,0,166.37236071902467,2.2210811790206404,0,0.2009418007836658,4.15146375295457,3.9627788647863444
12000,0.9,100% Eps-Greedy,100/0,0,153.88673745036542,2.1872011922790535,0,0.213722751172041,5.664496085741826,5.463030247185227
16000,0.9,100% Eps-Greedy,100/0,0,110.86885515741811,2.0448095629847307,0,0.22736333711544324,6.081571350713636,5.866464926213633
20000,0.9,100% Eps-Greedy,100/0,0,102.94767590072288,2.0126165466326844,0,0.23158518728423383,6.041036781529625,5.82170850686083
4000,0.1,80% Eps-Greedy / 20% Random,100/0,0,71.32160751741635,1.8532211231751592,0,0.3496752255269357,6.377173487641613,6.039755174730118
8000,0.1,80% Eps-Greedy / 20% Random,100/0,0,68.96600472802393,1.838635067589192,0,0.3808184879848109,6.5652133876382255,6.196651812268855
12000,0.1,80% Eps-Greedy / 20% Random,100/0,0,70.44543790329986,1.8478528731362711,0,0.40454236201845656,7.013169577586991,6.620884128183973
16000,0.1,80% Eps-Greedy / 20% Random,100/0,0,69.55266374824946,1.842313767383607,0,0.3657093815089371,6.379210403900656,6.025757935007158
20000,0.1,80% Eps-Greedy / 20% Random,100/0,0,69.89241148639589,1.8444300251235224,0,0.36096795730877607,6.484389117572124,6.135678072878789
4000,0.3,80% Eps-Greedy / 20% Random,100/0,0,66.62640389016096,1.823646373183995,0,0.4095900901067755,6.785638149080508,6.388304971589172
8000,0.3,80% Eps-Greedy / 20% Random,100/0,0,67.15661730798112,1.82708881251848,0,0.3079529137206681,5.4864626364093,5.190766635304072
12000,0.3,80% Eps-Greedy / 20% Random,100/0,0,67.20251637346867,1.827385535355179,0,0.3096004003969124,5.568311096129925,5.270967608348452
16000,0.3,80% Eps-Greedy / 20% Random,100/0,0,66.93971391474346,1.8256838519489504,0,0.32746368111344254,5.8647753263736675,5.549568557875665
20000,0.3,80% Eps-Greedy / 20% Random,100/0,0,67.377155216594,1.828512670346244,0,0.35043338922700357,6.289307282428168,5.951130805816605
4000,0.5,80% Eps-Greedy / 20% Random,100/0,0,67.6018761021562,1.8299587487450062,0,0.3489162587067285,5.976754684345739,5.640095338254451
8000,0.5,80% Eps-Greedy / 20% Random,100/0,0,68.10383423981095,1.8331715633418058,0,0.34554461622480537,6.4003719169004745,6.067084213291109
12000,0.5,80% Eps-Greedy / 20% Random,100/0,0,67.03900548880965,1.826327562992062,0,0.3208021951797032,5.967426829499255,5.658881546934991
16000,0.5,80% Eps-Greedy / 20% Random,100/0,0,67.78474521537271,1.8311319679937923,0,0.33432356220225606,5.857246084326775,5.535179434739959
20000,0.5,80% Eps-Greedy / 20% Random,100/0,0,67.4841612722355,1.8292018546202478,0,0.30789587888339653,5.931631596944181,5.635992630676225
4000,0.7,80% Eps-Greedy / 20% Random,100/0,0,70.61265234776121,1.8488825247416667,0,0.2630930291707916,5.680516837012007,5.4296807204566555
8000,0.7,80% Eps-Greedy / 20% Random,100/0,0,83.23629495809269,1.9203127405080302,0,0.22591972394975154,5.673867605981684,5.460204794647373
12000,0.7,80% Eps-Greedy / 20% Random,100/0,0,74.88855487600912,1.874415450089368,0,0.2597453037020057,5.716218141200725,5.468729750114159
16000,0.7,80% Eps-Greedy / 20% Random,100/0,0,81.9399983971743,1.9134959511219032,0,0.2745377428177097,6.202332107901791,5.940051277699521
20000,0.7,80% Eps-Greedy / 20% Random,100/0,0,75.69358648418867,1.8790590832976337,0,0.2754937504383401,5.66235047219968,5.399113634376779
4000,0.9,80% Eps-Greedy / 20% Random,100/0,0,104.01615719322618,2.0171008050184627,0,0.19648569259387658,5.338775751307898,5.154546971329461
8000,0.9,80% Eps-Greedy / 20% Random,100/0,0,146.54057067598262,2.165957878488285,0,0.2448557081435483,6.385979355064459,6.153380559536351
12000,0.9,80% Eps-Greedy / 20% Random,100/0,0,136.35955118047207,2.1346855631041906,0,0.230693355564174,6.727061393981103,6.508624951032369
16000,0.9,80% Eps-Greedy / 20% Random,100/0,0,128.04875369281635,2.107375355807442,0,0.2389758511648905,6.389479238421419,6.162760299871969
20000,0.9,80% Eps-Greedy / 20% Random,100/0,0,139.61969144252853,2.144946673886995,0,0.2464574372061949,6.563581185010815,6.32938066042006
4000,0.1,60% Eps-Greedy / 40% Random,100/0,0,69.38021710214738,1.841235654487262,0,0.34995448501532417,6.954228350959525,6.616530778559641
8000,0.1,60% Eps-Greedy / 40% Random,100/0,0,70.6989012057104,1.8494126640938584,0,0.3633333044124599,6.3524321098916685,6.001355718094649
12000,0.1,60% Eps-Greedy / 40% Random,100/0,0,70.28659462533696,1.846872502325709,0,0.3306047379743665,6.418262236677902,6.099914411318975
