feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,dataset_rows,status,error
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.0,25000,174.8,8,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.1,25000,174.4,8,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.2,25000,187.1,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.4,25000,169.7,9,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.6,25000,174.9,10,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.0,25000,188.8,5,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.1,25000,192.8,3,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.2,25000,192.5,5,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.4,25000,181.6,10,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.0,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.1,25000,181.8,10,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.6,0.4,0.6,25000,197.7,2,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.0,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.1,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.4,0.6,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.0,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.1,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.0,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.1,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.0,25000,181.7,7,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.1,25000,185.6,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.2,25000,186.8,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.4,25000,186.4,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
