state,action,reward,next_state,policy_id
3,3,-0.1,3,0
3,2,-0.1,2,0
2,0,-0.1,2,0
2,2,-0.1,1,0
1,3,-0.1,2,0
2,2,-0.1,1,0
1,1,-0.1,1,0
1,2,-0.1,0,0
0,0,-0.1,0,0
0,0,-0.1,0,0
0,3,-0.1,1,0
1,3,-0.1,2,0
2,0,-0.1,2,0
2,1,-0.1,12,0
12,3,-0.1,13,0
13,2,-0.1,12,0
12,1,-0.1,12,0
12,1,-0.1,12,0
12,1,-0.1,12,0
12,2,-0.1,12,0
12,0,-0.1,2,0
2,0,-0.1,2,0
2,2,-0.1,1,0
1,2,-0.1,0,0
0,1,-0.1,10,0
10,0,-0.1,0,0
0,0,-0.1,0,0
0,2,-0.1,0,0
0,3,-0.1,1,0
1,2,-0.1,0,0
0,0,-0.1,0,0
0,3,-0.1,1,0
1,1,-0.1,1,0
1,2,-0.1,0,0
0,3,-0.1,1,0
1,1,-0.1,1,0
1,3,-0.1,2,0
2,1,-0.1,12,0
12,0,-0.1,2,0
2,3,-0.1,3,0
3,1,-0.1,13,0
13,3,-0.1,13,0
13,2,-0.1,12,0
12,3,-0.1,13,0
13,0,-0.1,3,0
3,2,-0.1,2,0
2,3,-0.1,3,0
3,1,-0.1,13,0
13,1,-0.1,23,0
23,0,-0.1,13,0
29,1,-0.1,39,0
39,2,-0.1,38,0
38,2,-0.1,38,0
38,1,-0.1,48,0
48,0,-0.1,38,0
38,0,-0.1,28,0
28,3,-0.1,29,0
29,1,-0.1,39,0
39,1,-0.1,39,0
39,2,-0.1,38,0
38,1,-0.1,48,0
48,3,-0.1,48,0
48,1,-0.1,58,0
58,1,-0.1,68,0
68,1,-0.1,78,0
78,1,-0.1,88,0
88,3,-0.1,89,0
89,3,-0.1,89,0
89,2,-0.1,88,0
88,1,-0.1,98,0
98,2,-0.1,97,0
97,3,-0.1,98,0
98,0,-0.1,88,0
88,3,-0.1,89,0
89,2,-0.1,88,0
88,0,-0.1,78,0
78,1,-0.1,88,0
88,1,-0.1,98,0
98,2,-0.1,97,0
97,0,-0.1,97,0
97,3,-0.1,98,0
98,0,-0.1,88,0
88,2,-0.1,88,0
88,1,-0.1,98,0
98,3,-0.1,99,0
91,2,-0.1,90,0
90,2,-0.1,90,0
90,0,-0.1,80,0
80,3,-0.1,81,0
81,3,-0.1,81,0
81,1,-0.1,91,0
91,3,-0.1,92,0
92,3,-0.1,93,0
93,2,-0.1,92,0
92,1,-0.1,92,0
92,3,-0.1,93,0
93,0,-0.1,83,0
83,0,-0.1,73,0
73,1,-0.1,83,0
83,0,-0.1,73,0
73,1,-0.1,83,0
83,3,-0.1,83,0
83,2,-0.1,83,0
83,2,-0.1,83,0
83,1,-0.1,93,0
93,2,-0.1,92,0
92,1,-0.1,92,0
92,0,-0.1,92,0
92,3,-0.1,93,0
93,2,-0.1,92,0
92,1,-0.1,92,0
92,3,-0.1,93,0
93,1,-0.1,93,0
93,1,-0.1,93,0
93,0,-0.1,83,0
83,2,-0.1,83,0
83,0,-0.1,73,0
73,0,-0.1,63,0
63,0,-0.1,53,0
53,2,-0.1,52,0
52,1,-0.1,52,0
52,0,-0.1,52,0
52,1,-0.1,52,0
52,1,-0.1,52,0
52,0,-0.1,52,0
52,3,-0.1,53,0
53,0,-0.1,53,0
53,1,-0.1,63,0
63,3,-0.1,63,0
63,3,-0.1,63,0
63,0,-0.1,53,0
53,0,-0.1,53,0
53,2,-0.1,52,0
52,2,-0.1,51,0
51,2,-0.1,50,0
39,0,-0.1,29,0
